#Gene	pfamid	SP	TM	Start	End	Length	Strand	Contig	Source	pfam_desc	Taxonomy
demo|00050	PF00563.20;PF01590.26;PF01590.26;PF00990.21;	No	0	52663	56424	3762	1	bin00.contig0000	Prodigal_v2.6.3	"EAL domain";"GAF domain";"Diguanylate cyclase, GGDEF domain";"Phytochrome region";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00051	PF00563.20;PF00990.21;PF00072.24;	No	0	56641	58536	1896	1	bin00.contig0000	Prodigal_v2.6.3	"EAL domain";"Diguanylate cyclase, GGDEF domain";"Response regulator receiver domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00052	PF07479.14;PF01210.23;	No	0	58643	59578	936	1	bin00.contig0000	Prodigal_v2.6.3	"NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus";"NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00054	PF00535.26;PF13524.6;	No	0	60575	63658	3084	-1	bin00.contig0000	Prodigal_v2.6.3	"Glycosyl transferase family 2";"Glycosyl transferases group 1";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00055	PF00515.28;PF13432.6;PF13432.6;PF07719.17;	No	1	63703	66540	2838	-1	bin00.contig0000	Prodigal_v2.6.3	"Tetratricopeptide repeat";"Tetratricopeptide repeat";"Tetratricopeptide repeat";"Tetratricopeptide repeat";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00057	PF00353.19;	No	0	66948	68273	1326	1	bin00.contig0000	Prodigal_v2.6.3	"RTX calcium-binding nonapeptide repeat (4 copies)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00058	PF13181.6;	No	0	68254	70671	2418	1	bin00.contig0000	Prodigal_v2.6.3	"Tetratricopeptide repeat";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00059	PF00685.27;PF13432.6;PF07719.17;PF13176.6;	No	0	70813	72153	1341	-1	bin00.contig0000	Prodigal_v2.6.3	"Sulfotransferase domain";"Tetratricopeptide repeat";"Tetratricopeptide repeat";"Tetratricopeptide repeat";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00060	PF00005.27;	No	0	72225	72941	717	-1	bin00.contig0000	Prodigal_v2.6.3	"ABC transporter";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00061	PF13371.6;	No	0	72995	73543	549	-1	bin00.contig0000	Prodigal_v2.6.3	"Tetratricopeptide repeat";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00062	PF01121.20;	No	0	73546	74172	627	-1	bin00.contig0000	Prodigal_v2.6.3	"Dephospho-CoA kinase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00063	PF01887.16;	No	0	74169	74963	795	-1	bin00.contig0000	Prodigal_v2.6.3	"S-adenosyl-l-methionine hydroxide adenosyltransferase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00064	PF00805.22;PF00805.22;	No	0	75055	76725	1671	-1	bin00.contig0000	Prodigal_v2.6.3	"Pentapeptide repeats (8 copies)";"Protein kinase domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00065	PF00657.22;	No	0	76907	78181	1275	-1	bin00.contig0000	Prodigal_v2.6.3	"GDSL-like Lipase/Acylhydrolase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00066	PF02743.18;PF00211.20;PF00672.25;PF02518.26;PF00512.25;PF00072.24;	No	2	78243	81779	3537	-1	bin00.contig0000	Prodigal_v2.6.3	"Cache domain";"Adenylate and Guanylate cyclase catalytic domain";"HAMP domain";"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase";"His Kinase A (phospho-acceptor) domain";"Response regulator receiver domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00068	PF00155.21;	No	0	81919	83106	1188	1	bin00.contig0000	Prodigal_v2.6.3	"Aminotransferase class I and II";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00069	PF03160.14;PF03160.14;	No	0	83238	85997	2760	1	bin00.contig0000	Prodigal_v2.6.3	"Calx-beta domain";"RTX calcium-binding nonapeptide repeat (4 copies)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00070	PF00027.29;	No	0	86236	86922	687	1	bin00.contig0000	Prodigal_v2.6.3	"Cyclic nucleotide-binding domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00072	PF00696.28;PF01842.25;PF01842.25;	No	0	88212	90020	1809	1	bin00.contig0000	Prodigal_v2.6.3	"Amino acid kinase family";"ACT domain";"ACT domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00073	PF09157.11;PF16198.5;PF01509.18;	No	0	90197	91123	927	1	bin00.contig0000	Prodigal_v2.6.3	"Pseudouridine synthase II TruB, C-terminal";"tRNA pseudouridylate synthase B C-terminal domain";"TruB family pseudouridylate synthase (N terminal domain)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00076	PF11282.8;	No	1	92072	92380	309	1	bin00.contig0000	Prodigal_v2.6.3	"Protein of unknown function (DUF3082)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00078	PF00069.25;PF00400.32;	No	0	92444	94387	1944	-1	bin00.contig0000	Prodigal_v2.6.3	"Protein kinase domain";"WD domain, G-beta repeat";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00079	PF00502.19;	No	0	95315	95833	519	1	bin00.contig0000	Prodigal_v2.6.3	"Phycobilisome protein";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00080	PF00502.19;	No	0	95937	96425	489	1	bin00.contig0000	Prodigal_v2.6.3	"Phycobilisome protein";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00081	PF01383.21;PF00427.21;	No	0	96537	97436	900	1	bin00.contig0000	Prodigal_v2.6.3	"CpcD/allophycocyanin linker domain";"Phycobilisome Linker polypeptide";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00082	PF01383.21;	No	0	97590	97853	264	1	bin00.contig0000	Prodigal_v2.6.3	"CpcD/allophycocyanin linker domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00083	PF13646.6;PF13646.6;	No	0	97873	98691	819	1	bin00.contig0000	Prodigal_v2.6.3	"HEAT repeats";"PBS lyase HEAT-like repeat";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00084	PF13646.6;PF03130.16;	No	0	98717	99352	636	1	bin00.contig0000	Prodigal_v2.6.3	"HEAT repeats";"PBS lyase HEAT-like repeat";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00085	PF02254.18;	No	2	99373	100437	1065	-1	bin00.contig0000	Prodigal_v2.6.3	"TrkA-N domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00087	PF09876.9;	No	0	100457	100768	312	-1	bin00.contig0000	Prodigal_v2.6.3	"Predicted metal-binding protein (DUF2103)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00089	PF13899.6;	No	0	102238	104307	2070	-1	bin00.contig0000	Prodigal_v2.6.3	"Thioredoxin-like";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00090	PF00595.24;PF00089.26;	No	0	104421	105638	1218	-1	bin00.contig0000	Prodigal_v2.6.3	"PDZ domain";"Trypsin";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00092	PF00069.25;	No	2	106546	107892	1347	-1	bin00.contig0000	Prodigal_v2.6.3	"Protein kinase domain";	UNKNOWN
demo|00096	PF00583.25;	No	0	109060	109560	501	-1	bin00.contig0000	Prodigal_v2.6.3	"Acetyltransferase (GNAT) family";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00097	PF02609.16;	No	0	109576	109773	198	-1	bin00.contig0000	Prodigal_v2.6.3	"Exonuclease VII small subunit";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00098	PF02601.15;PF01336.25;	No	0	109806	111059	1254	-1	bin00.contig0000	Prodigal_v2.6.3	"Exonuclease VII, large subunit";"OB-fold nucleic acid binding domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00099	PF06745.13;	No	0	111359	112462	1104	1	bin00.contig0000	Prodigal_v2.6.3	"KaiC";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00100	PF00106.25;	No	0	112545	113510	966	-1	bin00.contig0000	Prodigal_v2.6.3	"short chain dehydrogenase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00101	PF00148.19;	No	0	113823	115232	1410	-1	bin00.contig0000	Prodigal_v2.6.3	"Nitrogenase component 1 type Oxidoreductase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00102	PF17265.2;	No	0	115270	116598	1329	-1	bin00.contig0000	Prodigal_v2.6.3	"Family of unknown function (DUF5331)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00103	PF13614.6;	No	0	116871	117734	864	-1	bin00.contig0000	Prodigal_v2.6.3	"AAA domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00104	PF01075.17;PF00515.28;PF13432.6;	No	0	118196	119524	1329	1	bin00.contig0000	Prodigal_v2.6.3	"Glycosyltransferase family 9 (heptosyltransferase)";"Tetratricopeptide repeat";"Tetratricopeptide repeat";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00106	PF00496.22;	No	0	120179	121810	1632	1	bin00.contig0000	Prodigal_v2.6.3	"Bacterial extracellular solute-binding proteins, family 5 Middle";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00107	PF03091.15;	No	0	121907	122251	345	1	bin00.contig0000	Prodigal_v2.6.3	"CutA1 divalent ion tolerance protein";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00108	PF09506.10;	No	0	122244	123566	1323	-1	bin00.contig0000	Prodigal_v2.6.3	"Glucosylglycerol-phosphate phosphatase (Salt_tol_Pase)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00109	PF00070.27;PF00085.20;	No	0	123708	125093	1386	1	bin00.contig0000	Prodigal_v2.6.3	"Pyridine nucleotide-disulphide oxidoreductase";"Thioredoxin";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00110	PF01909.23;	No	0	125238	125507	270	-1	bin00.contig0000	Prodigal_v2.6.3	"Nucleotidyltransferase domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00111	PF01797.16;	No	0	125525	125929	405	-1	bin00.contig0000	Prodigal_v2.6.3	"Transposase IS200 like";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00112	PF01385.19;	No	0	125975	127327	1353	1	bin00.contig0000	Prodigal_v2.6.3	"Probable transposase";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00113	PF02310.19;PF13282.6;PF04055.21;	No	0	127433	129019	1587	-1	bin00.contig0000	Prodigal_v2.6.3	"B12 binding domain";"Domain of unknown function (DUF4070)";"Radical SAM superfamily";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00115	PF00400.32;	No	0	130062	131735	1674	1	bin00.contig0000	Prodigal_v2.6.3	"WD domain, G-beta repeat";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Oscillatoriaceae;g__Oscillatoria;s__Oscillatoria acuminata
demo|00116	PF01934.17;	No	0	131806	132147	342	-1	bin00.contig0000	Prodigal_v2.6.3	"Protein of unknown function DUF86";	UNKNOWN
demo|00117	PF01909.23;	No	0	132134	132472	339	-1	bin00.contig0000	Prodigal_v2.6.3	"Nucleotidyltransferase domain";	UNKNOWN
demo|00119	PF10049.9;	No	0	132876	133100	225	-1	bin00.contig0000	Prodigal_v2.6.3	"Protein of unknown function (DUF2283)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Pseudophormidiales;f__Pseudophormidiaceae;g__O-77;
demo|00123	PF13245.6;PF13361.6;	No	0	134609	137146	2538	-1	bin00.contig0000	Prodigal_v2.6.3	"AAA domain";"UvrD-like helicase C-terminal domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00124	PF04459.12;PF17820.1;	No	0	137521	138897	1377	1	bin00.contig0000	Prodigal_v2.6.3	"Protein of unknown function (DUF512)";"PDZ domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00125	PF00588.19;PF08032.12;	No	0	138934	139710	777	1	bin00.contig0000	Prodigal_v2.6.3	"SpoU rRNA Methylase family";"RNA 2'-O ribose methyltransferase substrate binding";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00127	PF01134.22;PF00070.27;PF02852.22;	No	0	140168	141601	1434	1	bin00.contig0000	Prodigal_v2.6.3	"Glucose inhibited division protein A";"Pyridine nucleotide-disulphide oxidoreductase";"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
demo|00130	PF07099.11;	No	7	142757	143548	792	1	bin00.contig0000	Prodigal_v2.6.3	"Protein of unknown function (DUF1361)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;
demo|00132	PF05830.11;	No	0	143625	144776	1152	-1	bin00.contig0000	Prodigal_v2.6.3	"Nodulation protein Z (NodZ)";	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Oscillatoriaceae;g__Oscillatoria;s__Oscillatoria acuminata
