#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	tigrfam_acc	tigrfam_desc	Taxonomy
metaerg.pl|00028	NODE_1_length_345883_cov_22.9161	18141	19286	1146	1	No	0	TIGR00449	"tRNA-guanine family transglycosylase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00029	NODE_1_length_345883_cov_22.9161	19437	19772	336	1	YES	1	TIGR00739	"preprotein translocase, YajC subunit"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00036	NODE_1_length_345883_cov_22.9161	23791	25908	2118	1	No	1	TIGR02074	"penicillin-binding protein, 1A family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00052	NODE_1_length_345883_cov_22.9161	35615	36478	864	1	No	0	TIGR01121	"D-amino-acid transaminase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00054	NODE_1_length_345883_cov_22.9161	37420	38055	636	1	No	0	TIGR00091	"tRNA (guanine-N(7)-)-methyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00057	NODE_1_length_345883_cov_22.9161	38664	39734	1071	1	No	0	TIGR03107	"glutamyl aminopeptidase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00060	NODE_1_length_345883_cov_22.9161	41086	42414	1329	1	No	0	TIGR01082	"UDP-N-acetylmuramate--L-alanine ligase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00061	NODE_1_length_345883_cov_22.9161	42555	45218	2664	1	No	0	TIGR00593	"DNA polymerase I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00062	NODE_1_length_345883_cov_22.9161	45285	46109	825	1	No	0	TIGR00577	"DNA-formamidopyrimidine glycosylase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium putridalgicola
metaerg.pl|00063	NODE_1_length_345883_cov_22.9161	46129	46749	621	1	No	0	TIGR00152	"dephospho-CoA kinase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00064	NODE_1_length_345883_cov_22.9161	46785	47258	474	1	No	0	TIGR00244	"transcriptional regulator NrdR"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00067	NODE_1_length_345883_cov_22.9161	49914	51845	1932	1	No	0	TIGR00418	"threonine--tRNA ligase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00068	NODE_1_length_345883_cov_22.9161	52073	52597	525	1	No	0	TIGR00168	"translation initiation factor IF-3"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00069	NODE_1_length_345883_cov_22.9161	52659	52859	201	1	No	0	TIGR00001	"ribosomal protein bL35"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00070	NODE_1_length_345883_cov_22.9161	52897	53256	360	1	No	0	TIGR01032	"ribosomal protein bL20"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00071	NODE_1_length_345883_cov_22.9161	53504	54904	1401	1	No	0	TIGR00562	"protoporphyrinogen oxidase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00073	NODE_1_length_345883_cov_22.9161	55793	56812	1020	1	No	0	TIGR00545	"lipoyltransferase and lipoate-protein ligase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855
metaerg.pl|00074	NODE_1_length_345883_cov_22.9161	57099	57506	408	1	No	0	TIGR01617	"transcriptional regulator, Spx/MgsR family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00077	NODE_1_length_345883_cov_22.9161	59645	61459	1815	1	No	0	TIGR00181	"oligoendopeptidase F"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855
metaerg.pl|00082	NODE_1_length_345883_cov_22.9161	64446	65342	897	1	No	0	TIGR00005	"pseudouridine synthase, RluA family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00086	NODE_1_length_345883_cov_22.9161	67067	68653	1587	1	No	0	TIGR00231	"small GTP-binding protein domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00086	NODE_1_length_345883_cov_22.9161	67067	68653	1587	1	No	0	TIGR00503	"peptide chain release factor 3"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00088	NODE_1_length_345883_cov_22.9161	71262	71528	267	1	No	0	TIGR01003	"phosphocarrier, HPr family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00089	NODE_1_length_345883_cov_22.9161	71528	73252	1725	1	No	0	TIGR01417	"phosphoenolpyruvate-protein phosphotransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00094	NODE_1_length_345883_cov_22.9161	75980	76525	546	1	No	0	TIGR01549	"HAD hydrolase, family IA, variant 1"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00094	NODE_1_length_345883_cov_22.9161	75980	76525	546	1	No	0	TIGR01662	"HAD hydrolase, family IIIA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00094	NODE_1_length_345883_cov_22.9161	75980	76525	546	1	No	0	TIGR01668	"HAD phosphatase, family IIIA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00095	NODE_1_length_345883_cov_22.9161	76503	77630	1128	1	No	0	TIGR03597	"ribosome biogenesis GTPase YqeH"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
metaerg.pl|00096	NODE_1_length_345883_cov_22.9161	77649	77963	315	1	No	0	TIGR00253	"putative RNA-binding protein, YhbY family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00097	NODE_1_length_345883_cov_22.9161	77978	78619	642	1	No	0	TIGR00125	"cytidyltransferase-like domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00097	NODE_1_length_345883_cov_22.9161	77978	78619	642	1	No	0	TIGR00482	"nicotinate (nicotinamide) nucleotide adenylyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00098	NODE_1_length_345883_cov_22.9161	78609	79241	633	1	No	0	TIGR00277	"HDIG domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00098	NODE_1_length_345883_cov_22.9161	78609	79241	633	1	No	0	TIGR00488	"putative HD superfamily hydrolase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00099	NODE_1_length_345883_cov_22.9161	79222	79581	360	1	No	0	TIGR00090	"ribosome silencing factor"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00105	NODE_1_length_345883_cov_22.9161	83078	83509	432	1	No	0	TIGR00242	"division/cell wall cluster transcriptional repressor MraZ"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00106	NODE_1_length_345883_cov_22.9161	83525	84475	951	1	No	0	TIGR00006	"16S rRNA (cytosine(1402)-N(4))-methyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00107	NODE_1_length_345883_cov_22.9161	84508	84888	381	1	No	1	TIGR02209	"cell division protein FtsL"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00111	NODE_1_length_345883_cov_22.9161	87084	88046	963	1	No	10	TIGR00445	"phospho-N-acetylmuramoyl-pentapeptide-transferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00113	NODE_1_length_345883_cov_22.9161	88138	89523	1386	1	YES	1	TIGR01087	"UDP-N-acetylmuramoylalanine--D-glutamate ligase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00116	NODE_1_length_345883_cov_22.9161	89542	90663	1122	1	No	0	TIGR01133	"undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00119	NODE_1_length_345883_cov_22.9161	91770	93083	1314	1	No	0	TIGR01174	"cell division protein FtsA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00120	NODE_1_length_345883_cov_22.9161	93113	94327	1215	1	No	0	TIGR00065	"cell division protein FtsZ"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00125	NODE_1_length_345883_cov_22.9161	96015	96701	687	1	No	0	TIGR03544	"DivIVA domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium putridalgicola
metaerg.pl|00126	NODE_1_length_345883_cov_22.9161	96959	99733	2775	1	No	0	TIGR00392	"isoleucine--tRNA ligase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00136	NODE_1_length_345883_cov_22.9161	103446	104153	708	1	No	0	TIGR01704	"MTA/SAH nucleosidase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00146	NODE_1_length_345883_cov_22.9161	110506	111111	606	1	No	0	TIGR01017	"ribosomal protein uS4"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00151	NODE_1_length_345883_cov_22.9161	114895	116112	1218	1	No	0	TIGR00342	"tRNA sulfurtransferase ThiI"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00153	NODE_1_length_345883_cov_22.9161	116988	119633	2646	1	No	0	TIGR00422	"valine--tRNA ligase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00154	NODE_1_length_345883_cov_22.9161	119636	120292	657	1	No	0	TIGR01509	"HAD hydrolase, family IA, variant 3"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00154	NODE_1_length_345883_cov_22.9161	119636	120292	657	1	No	0	TIGR01549	"HAD hydrolase, family IA, variant 1"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00155	NODE_1_length_345883_cov_22.9161	120357	121043	687	1	No	0	TIGR00608	"DNA repair protein RadC"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp001885615
metaerg.pl|00157	NODE_1_length_345883_cov_22.9161	121653	122663	1011	1	No	0	TIGR00904	"cell shape determining protein, MreB/Mrl family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00158	NODE_1_length_345883_cov_22.9161	122817	123668	852	1	YES	1	TIGR00219	"rod shape-determining protein MreC"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00161	NODE_1_length_345883_cov_22.9161	123671	124234	564	1	No	5	TIGR03426	"rod shape-determining protein MreD"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00164	NODE_1_length_345883_cov_22.9161	124932	125726	795	1	No	0	TIGR01968	"septum site-determining protein MinD"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
metaerg.pl|00165	NODE_1_length_345883_cov_22.9161	125899	126210	312	1	No	0	TIGR00061	"ribosomal protein bL21"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00167	NODE_1_length_345883_cov_22.9161	126593	126877	285	1	No	0	TIGR00062	"ribosomal protein bL27"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00169	NODE_1_length_345883_cov_22.9161	128129	129322	1194	1	No	0	TIGR00016	"acetate kinase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00172	NODE_1_length_345883_cov_22.9161	131699	133969	2271	1	No	0	TIGR01435	"glutamate--cysteine ligase/glutathione synthase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00175	NODE_1_length_345883_cov_22.9161	135718	136839	1122	1	No	0	TIGR00420	"tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00177	NODE_1_length_345883_cov_22.9161	137778	140174	2397	1	No	0	TIGR01448	"helicase, RecD/TraA family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00181	NODE_1_length_345883_cov_22.9161	142540	145185	2646	1	No	0	TIGR00344	"alanine--tRNA ligase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00183	NODE_1_length_345883_cov_22.9161	145596	146021	426	1	No	0	TIGR00250	"putative transcription antitermination factor YqgF"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00185	NODE_1_length_345883_cov_22.9161	146543	147628	1086	1	No	1	TIGR00247	"conserved hypothetical protein, YceG family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
metaerg.pl|00187	NODE_1_length_345883_cov_22.9161	147708	148346	639	1	No	0	TIGR00235	"uridine kinase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00188	NODE_1_length_345883_cov_22.9161	148496	148969	474	1	No	0	TIGR01462	"transcription elongation factor GreA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00194	NODE_1_length_345883_cov_22.9161	151649	153319	1671	-1	No	0	TIGR00649	"beta-CASP ribonuclease, RNase J family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00195	NODE_1_length_345883_cov_22.9161	153559	154338	780	1	No	0	TIGR00099	"Cof-like hydrolase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00195	NODE_1_length_345883_cov_22.9161	153559	154338	780	1	No	0	TIGR01484	"HAD hydrolase, family IIB"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00199	NODE_1_length_345883_cov_22.9161	155946	156527	582	-1	No	0	TIGR00079	"peptide deformylase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00200	NODE_1_length_345883_cov_22.9161	156960	158066	1107	1	No	0	TIGR03181	"pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
metaerg.pl|00203	NODE_1_length_345883_cov_22.9161	160540	161946	1407	1	No	0	TIGR01350	"dihydrolipoyl dehydrogenase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
metaerg.pl|00205	NODE_1_length_345883_cov_22.9161	163055	164887	1833	1	No	0	TIGR00231	"small GTP-binding protein domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00205	NODE_1_length_345883_cov_22.9161	163055	164887	1833	1	No	0	TIGR01394	"GTP-binding protein TypA/BipA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00208	NODE_1_length_345883_cov_22.9161	165648	166211	564	1	No	0	TIGR00095	"16S rRNA (guanine(966)-N(2))-methyltransferase RsmD"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00209	NODE_1_length_345883_cov_22.9161	166204	166701	498	1	No	0	TIGR00125	"cytidyltransferase-like domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00209	NODE_1_length_345883_cov_22.9161	166204	166701	498	1	No	0	TIGR01510	"pantetheine-phosphate adenylyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00213	NODE_1_length_345883_cov_22.9161	167877	168515	639	1	No	1	TIGR00426	"competence protein ComEA helix-hairpin-helix repeat region"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp900104285
metaerg.pl|00215	NODE_1_length_345883_cov_22.9161	168602	169087	486	1	No	0	TIGR02571	"ComE operon protein 2"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
