#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	ec_id	ec_name	Taxonomy
metaerg.pl|00052	NODE_1_length_345883_cov_22.9161	35615	36478	864	1	No	0	2.6.1.21	"D-amino-acid transaminase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00053	NODE_1_length_345883_cov_22.9161	36591	37376	786	1	No	0	2.7.-.-	"Transferring phosphorus-containing groups."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00054	NODE_1_length_345883_cov_22.9161	37420	38055	636	1	No	0	2.1.1.33	"tRNA (guanine(46)-N(7))-methyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium"
metaerg.pl|00057	NODE_1_length_345883_cov_22.9161	38664	39734	1071	1	No	0	3.4.11.7	"Glutamyl aminopeptidase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00060	NODE_1_length_345883_cov_22.9161	41086	42414	1329	1	No	0	6.3.2.8	"UDP-N-acetylmuramate--L-alanine ligase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00061	NODE_1_length_345883_cov_22.9161	42555	45218	2664	1	No	0	2.7.7.7	"DNA-directed DNA polymerase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00062	NODE_1_length_345883_cov_22.9161	45285	46109	825	1	No	0	3.2.2.23	"DNA-formamidopyrimidine glycosylase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium putridalgicola"
metaerg.pl|00063	NODE_1_length_345883_cov_22.9161	46129	46749	621	1	No	0	2.7.1.24	"Dephospho-CoA kinase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00067	NODE_1_length_345883_cov_22.9161	49914	51845	1932	1	No	0	6.1.1.3	"Threonine--tRNA ligase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
metaerg.pl|00071	NODE_1_length_345883_cov_22.9161	53504	54904	1401	1	No	0	1.3.3.4	"Protoporphyrinogen oxidase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00072	NODE_1_length_345883_cov_22.9161	55037	55780	744	1	No	0	3.-.-.-	"Hydrolases."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium"
metaerg.pl|00073	NODE_1_length_345883_cov_22.9161	55793	56812	1020	1	No	0	6.3.1.20	"Lipoate--protein ligase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855"
metaerg.pl|00077	NODE_1_length_345883_cov_22.9161	59645	61459	1815	1	No	0	3.4.24.-	"Metalloendopeptidases."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855"
metaerg.pl|00079	NODE_1_length_345883_cov_22.9161	62312	62896	585	-1	No	0	3.6.1.-	"In phosphorus-containing anhydrides."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00080	NODE_1_length_345883_cov_22.9161	63003	63626	624	1	No	0	2.7.6.5	"GTP diphosphokinase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255"
metaerg.pl|00081	NODE_1_length_345883_cov_22.9161	63644	64456	813	1	No	0	2.7.1.23	"NAD(+) kinase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium"
metaerg.pl|00082	NODE_1_length_345883_cov_22.9161	64446	65342	897	1	No	0	5.4.99.-	"Transferring other groups."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00083	NODE_1_length_345883_cov_22.9161	65350	65793	444	-1	No	0	2.3.1.-	"Transferring groups other than amino-acyl groups."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255"
metaerg.pl|00089	NODE_1_length_345883_cov_22.9161	71528	73252	1725	1	No	0	2.7.3.9	"Phosphoenolpyruvate--protein phosphotransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00090	NODE_1_length_345883_cov_22.9161	73317	74183	867	1	No	0	1.1.-.-	"Acting on the CH-OH group of donors."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_C;s__Enterococcus_C massiliensis"
metaerg.pl|00091	NODE_1_length_345883_cov_22.9161	74266	75438	1173	-1	No	1	2.6.1.-	"Transaminases."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00094	NODE_1_length_345883_cov_22.9161	75980	76525	546	1	No	0	3.1.3.-	"Phosphoric monoester hydrolases."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00097	NODE_1_length_345883_cov_22.9161	77978	78619	642	1	No	0	2.7.7.18	"Nicotinate-nucleotide adenylyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00100	NODE_1_length_345883_cov_22.9161	79581	80303	723	1	No	0	2.1.1.-	"Methyltransferases."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00101	NODE_1_length_345883_cov_22.9161	80314	81507	1194	1	No	0	6.3.4.-	"Other carbon--nitrogen ligases."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00106	NODE_1_length_345883_cov_22.9161	83525	84475	951	1	No	0	2.1.1.199	"16S rRNA (cytosine(1402)-N(4))-methyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
metaerg.pl|00111	NODE_1_length_345883_cov_22.9161	87084	88046	963	1	No	10	2.7.8.13	"Phospho-N-acetylmuramoyl-pentapeptide-transferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00113	NODE_1_length_345883_cov_22.9161	88138	89523	1386	1	YES	1	6.3.2.9	"UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00116	NODE_1_length_345883_cov_22.9161	89542	90663	1122	1	No	0	2.4.1.227	"Undecaprenyldiphospho-muramoylpentapeptide beta-N-"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00126	NODE_1_length_345883_cov_22.9161	96959	99733	2775	1	No	0	6.1.1.5	"Isoleucine--tRNA ligase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00133	NODE_1_length_345883_cov_22.9161	102604	103161	558	1	No	0	3.-.-.-	"Hydrolases."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00136	NODE_1_length_345883_cov_22.9161	103446	104153	708	1	No	0	3.2.2.9	"Adenosylhomocysteine nucleosidase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium"
metaerg.pl|00136	NODE_1_length_345883_cov_22.9161	103446	104153	708	1	No	0	3.2.2.16 3.2.2.9	""	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium"
metaerg.pl|00141	NODE_1_length_345883_cov_22.9161	106329	107090	762	1	No	0	7.2.2.-	"Linked to the hydrolysis of a nucleoside triphosphate."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
metaerg.pl|00144	NODE_1_length_345883_cov_22.9161	108271	108825	555	1	No	0	2.3.1.-	"Transferring groups other than amino-acyl groups."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855"
metaerg.pl|00151	NODE_1_length_345883_cov_22.9161	114895	116112	1218	1	No	0	2.8.1.4	"tRNA uracil 4-sulfurtransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00152	NODE_1_length_345883_cov_22.9161	116182	116685	504	1	No	0	1.11.1.15	"Peroxiredoxin."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium"
metaerg.pl|00153	NODE_1_length_345883_cov_22.9161	116988	119633	2646	1	No	0	6.1.1.9	"Valine--tRNA ligase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00154	NODE_1_length_345883_cov_22.9161	119636	120292	657	1	No	0	3.1.3.-	"Phosphoric monoester hydrolases."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00169	NODE_1_length_345883_cov_22.9161	128129	129322	1194	1	No	0	2.7.2.1	"Acetate kinase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium"
metaerg.pl|00172	NODE_1_length_345883_cov_22.9161	131699	133969	2271	1	No	0	6.3.2.2	"Glutamate--cysteine ligase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
metaerg.pl|00172	NODE_1_length_345883_cov_22.9161	131699	133969	2271	1	No	0	6.3.2.3	"Glutathione synthase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
metaerg.pl|00172	NODE_1_length_345883_cov_22.9161	131699	133969	2271	1	No	0	6.3.2.2 6.3.2.3	""	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
metaerg.pl|00173	NODE_1_length_345883_cov_22.9161	133985	135139	1155	1	No	0	2.8.1.7	"Cysteine desulfurase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855"
metaerg.pl|00175	NODE_1_length_345883_cov_22.9161	135718	136839	1122	1	No	0	2.8.1.13	"tRNA-uridine 2-sulfurtransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00175	NODE_1_length_345883_cov_22.9161	135718	136839	1122	1	No	0	2.1.1.61	"tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00177	NODE_1_length_345883_cov_22.9161	137778	140174	2397	1	No	0	3.6.4.12	"DNA helicase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
metaerg.pl|00178	NODE_1_length_345883_cov_22.9161	140214	141122	909	-1	No	0	2.7.-.-	"Transferring phosphorus-containing groups."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
metaerg.pl|00181	NODE_1_length_345883_cov_22.9161	142540	145185	2646	1	No	0	6.1.1.7	"Alanine--tRNA ligase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00183	NODE_1_length_345883_cov_22.9161	145596	146021	426	1	No	0	3.1.-.-	"Acting on ester bonds."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00185	NODE_1_length_345883_cov_22.9161	146543	147628	1086	1	No	1	4.2.2.-	"Acting on polysaccharides."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255"
metaerg.pl|00187	NODE_1_length_345883_cov_22.9161	147708	148346	639	1	No	0	2.7.1.48	"Uridine kinase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
metaerg.pl|00191	NODE_1_length_345883_cov_22.9161	149836	150888	1053	1	No	2	2.7.13.3	"Histidine kinase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
metaerg.pl|00194	NODE_1_length_345883_cov_22.9161	151649	153319	1671	-1	No	0	3.1.-.-	"Acting on ester bonds."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
metaerg.pl|00199	NODE_1_length_345883_cov_22.9161	155946	156527	582	-1	No	0	3.5.1.88	"Peptide deformylase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium"
metaerg.pl|00200	NODE_1_length_345883_cov_22.9161	156960	158066	1107	1	No	0	1.2.4.1	"Pyruvate dehydrogenase (acetyl-transferring)."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255"
metaerg.pl|00201	NODE_1_length_345883_cov_22.9161	158069	159046	978	1	No	0	1.2.4.1	"Pyruvate dehydrogenase (acetyl-transferring)."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255"
metaerg.pl|00202	NODE_1_length_345883_cov_22.9161	159172	160527	1356	1	No	0	2.3.1.12	"Dihydrolipoyllysine-residue acetyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00203	NODE_1_length_345883_cov_22.9161	160540	161946	1407	1	No	0	1.8.1.4	"Dihydrolipoyl dehydrogenase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255"
metaerg.pl|00204	NODE_1_length_345883_cov_22.9161	162076	162855	780	1	No	0	3.1.3.25	"Inositol-phosphate phosphatase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00208	NODE_1_length_345883_cov_22.9161	165648	166211	564	1	No	0	2.1.1.-	"Methyltransferases."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium"
metaerg.pl|00208	NODE_1_length_345883_cov_22.9161	165648	166211	564	1	No	0	2.1.1.171	"16S rRNA (guanine(966)-N(2))-methyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium"
metaerg.pl|00209	NODE_1_length_345883_cov_22.9161	166204	166701	498	1	No	0	2.7.7.3	"Pantetheine-phosphate adenylyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium"
metaerg.pl|00215	NODE_1_length_345883_cov_22.9161	168602	169087	486	1	No	0	3.5.-.-	"Acting on carbon-nitrogen bonds, other than peptide bonds."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255"
metaerg.pl|00218	NODE_1_length_345883_cov_22.9161	171444	172469	1026	1	No	0	2.7.7.7	"DNA-directed DNA polymerase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00220	NODE_1_length_345883_cov_22.9161	172971	174962	1992	1	No	0	3.1.25.-	"Site-specific endodeoxyribonucleases specific for altered bases."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00221	NODE_1_length_345883_cov_22.9161	175280	175822	543	1	No	0	2.4.2.9	"Uracil phosphoribosyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00222	NODE_1_length_345883_cov_22.9161	176091	177011	921	1	No	0	2.1.3.2	"Aspartate carbamoyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00223	NODE_1_length_345883_cov_22.9161	177028	178311	1284	1	No	0	3.5.2.3	"Dihydroorotase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00224	NODE_1_length_345883_cov_22.9161	178308	179399	1092	1	No	0	6.3.5.5	"Carbamoyl-phosphate synthase (glutamine-hydrolyzing)."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00225	NODE_1_length_345883_cov_22.9161	179392	182571	3180	1	No	0	6.3.5.5	"Carbamoyl-phosphate synthase (glutamine-hydrolyzing)."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00226	NODE_1_length_345883_cov_22.9161	182605	183531	927	1	No	0	1.3.98.1	"Dihydroorotate oxidase (fumarate)."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp001885615"
metaerg.pl|00226	NODE_1_length_345883_cov_22.9161	182605	183531	927	1	No	0	1.3.-.-	"Acting on the CH-CH group of donors."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp001885615"
metaerg.pl|00227	NODE_1_length_345883_cov_22.9161	183524	184237	714	1	No	0	4.1.1.23	"Orotidine-5'-phosphate decarboxylase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp001885615"
metaerg.pl|00228	NODE_1_length_345883_cov_22.9161	184238	184864	627	1	No	0	2.4.2.10	"Orotate phosphoribosyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
metaerg.pl|00230	NODE_1_length_345883_cov_22.9161	185494	187614	2121	1	No	0	2.7.7.8	"Polyribonucleotide nucleotidyltransferase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium"
metaerg.pl|00231	NODE_1_length_345883_cov_22.9161	187675	188655	981	-1	No	0	6.3.4.15	"Biotin--[biotin carboxyl-carrier protein] ligase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus"
