#Accession	ID	Description	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
PF17862	AAA_lid_3	"AAA+ lid domain"	6	0.06	2012.51	0.13	329.60	0.26	585.40	0.27	207.71	0.02	889.79	0.29
PF00941	FAD_binding_5	"FAD binding domain in molybdopterin dehydrogenase"	4	0.04	239.79	0.02	0.94	0.00	5.27	0.00	231.68	0.03	1.90	0.00
PF01037	AsnC_trans_reg	"Lrp/AsnC ligand binding domain"	11	0.11	926.78	0.06	11.11	0.01	27.17	0.01	880.11	0.10	8.38	0.00
PF00258	Flavodoxin_1	"Flavodoxin"	2	0.02	86.56	0.01	0.27	0.00	0.04	0.00	86.08	0.01	0.17	0.00
PF13699	DUF4157	"Domain of unknown function (DUF4157)"	2	0.02	49.41	0.00	0.19	0.00	0.14	0.00	48.89	0.01	0.18	0.00
PF11285	DUF3086	"Protein of unknown function (DUF3086)"	1	0.01	72.73	0.00	0.00	0.00	0.02	0.00	72.68	0.01	0.03	0.00
PF08016	PKD_channel	"Polycystin cation channel"	4	0.04	183.03	0.01	15.85	0.01	0.28	0.00	166.36	0.02	0.54	0.00
PF07478	Dala_Dala_lig_C	"D-ala D-ala ligase C-terminus"	26	0.25	1465.15	0.09	38.26	0.03	28.00	0.01	1384.83	0.15	14.07	0.00
PF00874	PRD	"PRD domain"	1	0.01	42.19	0.00	2.26	0.00	0.00	0.00	39.89	0.00	0.03	0.00
PF00381	PTS-HPr	"PTS HPr component phosphorylation site"	3	0.03	75.96	0.00	2.62	0.00	0.00	0.00	73.22	0.01	0.11	0.00
PF03453	MoeA_N	"MoeA N-terminal region (domain I and II)"	1	0.01	72.73	0.00	0.00	0.00	0.02	0.00	72.68	0.01	0.03	0.00
PF14522	Cytochrome_C7	"Cytochrome c7 and related cytochrome c"	2	0.02	66.20	0.00	10.69	0.01	1.40	0.00	51.19	0.01	2.91	0.00
PF09374	PG_binding_3	"Predicted Peptidoglycan domain"	3	0.03	138.01	0.01	0.41	0.00	16.74	0.01	118.40	0.01	2.46	0.00
PF03717	PBP_dimer	"Penicillin-binding Protein dimerisation domain"	8	0.08	660.24	0.04	19.14	0.01	1.10	0.00	638.52	0.07	1.48	0.00
PF13091	PLDc_2	"PLD-like domain"	20	0.19	3185.92	0.20	349.42	0.27	591.34	0.27	1352.53	0.15	892.63	0.29
PF06167	Peptidase_M90	"Glucose-regulated metallo-peptidase M90"	1	0.01	13.15	0.00	0.26	0.00	0.00	0.00	12.83	0.00	0.06	0.00
PF10070	DUF2309	"Uncharacterized protein conserved in bacteria (DUF2309)"	1	0.01	202.80	0.01	0.00	0.00	0.43	0.00	202.04	0.02	0.33	0.00
PF00994	MoCF_biosynth	"Probable molybdopterin binding domain"	6	0.06	2148.38	0.14	308.67	0.24	568.00	0.26	417.12	0.05	854.58	0.28
PF04018	DUF368	"Domain of unknown function (DUF368)"	2	0.02	89.70	0.01	10.65	0.01	11.42	0.01	33.61	0.00	34.02	0.01
PF08669	GCV_T_C	"Glycine cleavage T-protein C-terminal barrel domain"	8	0.08	485.25	0.03	8.45	0.01	11.25	0.01	462.45	0.05	3.10	0.00
PF00425	Chorismate_bind	"chorismate binding enzyme"	7	0.07	312.95	0.02	0.34	0.00	16.83	0.01	290.50	0.03	5.28	0.00
PF00549	Ligase_CoA	"CoA-ligase"	4	0.04	241.67	0.02	10.09	0.01	1.94	0.00	226.46	0.02	3.17	0.00
PF06089	Asparaginase_II	"L-asparaginase II"	2	0.02	204.03	0.01	0.01	0.00	0.46	0.00	201.75	0.02	1.82	0.00
PF00929	RNase_T	"Exonuclease"	15	0.14	1017.96	0.07	33.93	0.03	96.68	0.04	837.39	0.09	49.97	0.02
PF13802	Gal_mutarotas_2	"Galactose mutarotase-like"	1	0.01	70.45	0.00	0.00	0.00	0.03	0.00	70.38	0.01	0.04	0.00
PF09356	Phage_BR0599	"Phage conserved hypothetical protein BR0599"	1	0.01	216.75	0.01	0.12	0.00	0.65	0.00	215.33	0.02	0.66	0.00
PF03830	PTSIIB_sorb	"PTS system sorbose subfamily IIB component"	2	0.02	84.38	0.01	4.53	0.00	0.01	0.00	79.78	0.01	0.07	0.00
PF01715	IPPT	"IPP transferase"	1	0.01	78.70	0.01	7.86	0.01	0.06	0.00	70.54	0.01	0.25	0.00
PF01433	Peptidase_M1	"Peptidase family M1 domain"	5	0.05	214.12	0.01	15.21	0.01	21.34	0.01	172.02	0.02	5.55	0.00
PF17933	TetR_C_25	"Tetracyclin repressor-like, C-terminal domain"	1	0.01	120.88	0.01	33.13	0.03	27.40	0.01	27.31	0.00	33.04	0.01
PF00580	UvrD-helicase	"UvrD/REP helicase N-terminal domain"	14	0.13	901.77	0.06	9.07	0.01	2.26	0.00	888.35	0.10	2.09	0.00
PF02551	Acyl_CoA_thio	"Acyl-CoA thioesterase"	2	0.02	75.22	0.00	0.23	0.00	0.16	0.00	74.69	0.01	0.15	0.00
PF17956	NAPRTase_C	"Nicotinate phosphoribosyltransferase C-terminal domain"	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
PF16363	GDP_Man_Dehyd	"GDP-mannose 4,6 dehydratase"	21	0.20	1776.55	0.11	3.41	0.00	7.90	0.00	1757.65	0.19	7.59	0.00
PF12698	ABC2_membrane_3	"ABC-2 family transporter protein"	6	0.06	478.55	0.03	0.48	0.00	1.30	0.00	474.11	0.05	2.67	0.00
PF06725	3D	"3D domain"	2	0.02	84.48	0.01	2.37	0.00	0.01	0.00	82.05	0.01	0.04	0.00
PF17746	SfsA_N	"SfsA N-terminal OB domain"	2	0.02	1855.61	0.12	282.94	0.22	587.10	0.27	87.36	0.01	898.20	0.30
PF17757	UvrB_inter	"UvrB interaction domain"	8	0.08	489.80	0.03	9.59	0.01	4.04	0.00	472.53	0.05	3.63	0.00
PF13434	K_oxygenase	"L-lysine 6-monooxygenase (NADPH-requiring)"	13	0.13	457.40	0.03	31.03	0.02	5.46	0.00	413.50	0.05	7.42	0.00
PF10141	ssDNA-exonuc_C	"Single-strand DNA-specific exonuclease, C terminal domain"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
PF02585	PIG-L	"GlcNAc-PI de-N-acetylase"	3	0.03	37.96	0.00	0.00	0.00	0.03	0.00	34.94	0.00	3.00	0.00
PF07940	Hepar_II_III	"Heparinase II/III-like protein"	2	0.02	73.76	0.00	0.33	0.00	20.13	0.01	50.15	0.01	3.15	0.00
PF00696	AA_kinase	"Amino acid kinase family"	16	0.15	1536.62	0.10	116.91	0.09	387.43	0.18	934.08	0.10	98.19	0.03
PF13899	Thioredoxin_7	"Thioredoxin-like"	3	0.03	320.92	0.02	0.02	0.00	3.99	0.00	315.61	0.03	1.29	0.00
PF02894	GFO_IDH_MocA_C	"Oxidoreductase family, C-terminal alpha/beta domain"	5	0.05	319.13	0.02	7.56	0.01	1.74	0.00	307.19	0.03	2.64	0.00
PF13291	ACT_4	"ACT domain"	6	0.06	409.85	0.03	22.58	0.02	40.81	0.02	285.98	0.03	60.47	0.02
PF02616	SMC_ScpA	"Segregation and condensation protein ScpA"	8	0.08	529.09	0.03	23.59	0.02	4.16	0.00	499.84	0.05	1.51	0.00
PF00662	Proton_antipo_N	"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus"	8	0.08	755.53	0.05	1.19	0.00	5.34	0.00	744.22	0.08	4.78	0.00
PF17763	Asparaginase_C	"Glutaminase/Asparaginase C-terminal domain"	2	0.02	107.91	0.01	8.13	0.01	0.05	0.00	99.48	0.01	0.25	0.00
PF13401	AAA_22	"AAA domain"	35	0.34	5856.44	0.37	673.62	0.53	1213.53	0.56	2157.78	0.24	1811.51	0.60
PF10984	DUF2794	"Protein of unknown function (DUF2794)"	1	0.01	29.33	0.00	0.02	0.00	3.64	0.00	24.90	0.00	0.78	0.00
PF05552	TM_helix	"Conserved TM helix"	4	0.04	1887.76	0.12	326.68	0.25	585.28	0.27	86.12	0.01	889.68	0.29
PF11051	Mannosyl_trans3	"Mannosyltransferase putative"	1	0.01	72.73	0.00	0.00	0.00	0.02	0.00	72.68	0.01	0.03	0.00
PF04350	PilO	"Pilus assembly protein, PilO"	1	0.01	66.73	0.00	0.00	0.00	0.15	0.00	66.54	0.01	0.04	0.00
PF13672	PP2C_2	"Protein phosphatase 2C"	3	0.03	134.48	0.01	2.46	0.00	0.11	0.00	131.75	0.01	0.16	0.00
PF13417	GST_N_3	"Glutathione S-transferase, N-terminal domain"	18	0.17	1246.71	0.08	8.71	0.01	22.34	0.01	1210.30	0.13	5.37	0.00
PF02743	dCache_1	"Cache domain"	4	0.04	2125.61	0.14	325.56	0.25	585.67	0.27	324.69	0.04	889.69	0.29
PF01593	Amino_oxidase	"Flavin containing amine oxidoreductase"	29	0.28	1447.65	0.09	35.52	0.03	62.23	0.03	1332.49	0.15	17.42	0.01
PF04107	GCS2	"Glutamate-cysteine ligase family 2(GCS2)"	2	0.02	114.38	0.01	0.04	0.00	0.25	0.00	114.00	0.01	0.10	0.00
PF01321	Creatinase_N	"Creatinase/Prolidase N-terminal domain"	6	0.06	752.07	0.05	53.88	0.04	31.76	0.01	631.74	0.07	34.69	0.01
PF04255	DUF433	"Protein of unknown function (DUF433)"	4	0.04	289.85	0.02	0.01	0.00	0.07	0.00	289.67	0.03	0.10	0.00
PF04172	LrgB	"LrgB-like family"	1	0.01	27.75	0.00	0.00	0.00	0.00	0.00	27.75	0.00	0.00	0.00
PF02814	UreE_N	"UreE urease accessory protein, N-terminal domain"	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
PF05368	NmrA	"NmrA-like family"	20	0.19	1191.09	0.08	16.38	0.01	12.85	0.01	1156.68	0.13	5.19	0.00
PF14344	DUF4397	"Domain of unknown function (DUF4397)"	1	0.01	13.76	0.00	0.27	0.00	0.03	0.00	13.32	0.00	0.15	0.00
PF17758	Prot_ATP_OB_N	"Proteasomal ATPase OB N-terminal domain"	1	0.01	50.96	0.00	4.85	0.00	3.43	0.00	42.25	0.00	0.43	0.00
PF13384	HTH_23	"Homeodomain-like domain"	6	0.06	271.92	0.02	8.02	0.01	0.28	0.00	261.73	0.03	1.89	0.00
PF03602	Cons_hypoth95	"Conserved hypothetical protein 95"	10	0.10	483.29	0.03	2.38	0.00	0.74	0.00	475.49	0.05	4.68	0.00
PF11799	IMS_C	"impB/mucB/samB family C-terminal domain"	6	0.06	306.73	0.02	11.18	0.01	4.41	0.00	289.50	0.03	1.64	0.00
PF00265	TK	"Thymidine kinase"	1	0.01	34.27	0.00	0.00	0.00	0.00	0.00	34.26	0.00	0.00	0.00
PF18765	Polbeta	"Polymerase beta, Nucleotidyltransferase"	4	0.04	290.74	0.02	0.01	0.00	0.07	0.00	290.55	0.03	0.11	0.00
PF03466	LysR_substrate	"LysR substrate binding domain"	17	0.16	1681.05	0.11	4.95	0.00	3.22	0.00	1670.45	0.18	2.43	0.00
PF12627	PolyA_pol_RNAbd	"Probable RNA and SrmB- binding site of polymerase A"	6	0.06	270.04	0.02	0.17	0.00	3.80	0.00	263.65	0.03	2.42	0.00
PF13692	Glyco_trans_1_4	"Glycosyl transferases group 1"	29	0.28	3621.28	0.23	345.62	0.27	634.56	0.29	1740.57	0.19	900.53	0.30
PF01132	EFP	"Elongation factor P (EF-P) OB domain"	5	0.05	424.20	0.03	8.13	0.01	0.79	0.00	413.24	0.05	2.03	0.00
PF00710	Asparaginase	"Asparaginase, N-terminal"	2	0.02	107.91	0.01	8.13	0.01	0.05	0.00	99.48	0.01	0.25	0.00
PF07676	PD40	"WD40-like Beta Propeller Repeat"	14	0.13	653.67	0.04	11.26	0.01	4.18	0.00	627.30	0.07	10.93	0.00
PF12849	PBP_like_2	"PBP superfamily domain"	3	0.03	111.01	0.01	0.12	0.00	0.18	0.00	109.05	0.01	1.67	0.00
PF14311	DUF4379	"Probable Zinc-ribbon domain"	1	0.01	18.04	0.00	0.00	0.00	0.00	0.00	18.03	0.00	0.01	0.00
PF18855	baeRF_family11	"Bacterial archaeo-eukaryotic release factor family 11"	1	0.01	30.93	0.00	0.03	0.00	3.52	0.00	26.54	0.00	0.84	0.00
PF08643	DUF1776	"Fungal family of unknown function (DUF1776)"	2	0.02	165.30	0.01	15.99	0.01	0.11	0.00	148.71	0.02	0.49	0.00
PF01455	HupF_HypC	"HupF/HypC family"	1	0.01	72.42	0.00	0.01	0.00	0.04	0.00	72.35	0.01	0.02	0.00
PF06723	MreB_Mbl	"MreB/Mbl protein"	13	0.13	687.42	0.04	23.26	0.02	7.64	0.00	653.66	0.07	2.86	0.00
PF03576	Peptidase_S58	"Peptidase family S58"	1	0.01	13.15	0.00	0.00	0.00	0.02	0.00	11.75	0.00	1.38	0.00
PF13751	DDE_Tnp_1_6	"domain"	1	0.01	25.47	0.00	0.12	0.00	0.14	0.00	25.10	0.00	0.12	0.00
PF01895	PhoU	"PhoU domain"	4	0.04	100.32	0.01	0.49	0.00	16.56	0.01	79.32	0.01	3.95	0.00
PF06283	ThuA	"Trehalose utilisation"	1	0.01	40.10	0.00	0.00	0.00	0.00	0.00	40.10	0.00	0.00	0.00
PF04828	GFA	"Glutathione-dependent formaldehyde-activating enzyme"	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
PF17116	DUF5103	"Domain of unknown function (DUF5103)"	1	0.01	27.87	0.00	10.00	0.01	1.26	0.00	13.88	0.00	2.73	0.00
PF09818	ABC_ATPase	"Predicted ATPase of the ABC class"	7	0.07	597.25	0.04	0.71	0.00	18.16	0.01	573.09	0.06	5.28	0.00
PF02632	BioY	"BioY family"	1	0.01	27.36	0.00	2.81	0.00	0.00	0.00	24.44	0.00	0.11	0.00
PF02463	SMC_N	"RecF/RecN/SMC N terminal domain"	21	0.20	1430.31	0.09	41.13	0.03	19.32	0.01	1357.46	0.15	12.40	0.00
PF04316	FlgM	"Anti-sigma-28 factor, FlgM"	1	0.01	23.81	0.00	0.00	0.00	0.00	0.00	23.81	0.00	0.00	0.00
PF17392	Urocanase_C	"Urocanase C-terminal domain"	1	0.01	27.05	0.00	0.01	0.00	3.50	0.00	22.65	0.00	0.88	0.00
PF01063	Aminotran_4	"Amino-transferase class IV"	12	0.12	747.35	0.05	30.22	0.02	7.58	0.00	699.20	0.08	10.36	0.00
PF01066	CDP-OH_P_transf	"CDP-alcohol phosphatidyltransferase"	10	0.10	571.96	0.04	28.39	0.02	5.25	0.00	532.82	0.06	5.51	0.00
PF01472	PUA	"PUA domain"	2	0.02	170.09	0.01	8.19	0.01	0.67	0.00	160.56	0.02	0.67	0.00
PF13686	DrsE_2	"DsrE/DsrF/DrsH-like family"	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
PF02005	TRM	"N2,N2-dimethylguanosine tRNA methyltransferase"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
PF07610	DUF1573	"Protein of unknown function (DUF1573)"	1	0.01	28.95	0.00	9.91	0.01	1.36	0.00	14.98	0.00	2.70	0.00
PF04187	Cofac_haem_bdg	"Haem-binding uptake, Tiki superfamily, ChaN"	1	0.01	13.15	0.00	0.00	0.00	0.02	0.00	11.75	0.00	1.38	0.00
PF09190	DALR_2	"DALR domain"	2	0.02	78.88	0.01	4.96	0.00	0.21	0.00	73.50	0.01	0.21	0.00
PF01450	IlvC	"Acetohydroxy acid isomeroreductase, catalytic domain"	3	0.03	237.71	0.02	0.09	0.00	1.05	0.00	236.02	0.03	0.55	0.00
PF00732	GMC_oxred_N	"GMC oxidoreductase"	2	0.02	220.46	0.01	0.03	0.00	4.01	0.00	215.33	0.02	1.09	0.00
PF02603	Hpr_kinase_N	"HPr Serine kinase N terminus"	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
PF14255	Cys_rich_CPXG	"Cysteine-rich CPXCG"	1	0.01	21.24	0.00	0.00	0.00	0.00	0.00	21.23	0.00	0.00	0.00
PF00238	Ribosomal_L14	"Ribosomal protein L14p/L23e"	2	0.02	2582.00	0.16	325.56	0.25	585.16	0.27	781.79	0.09	889.48	0.29
PF03030	H_PPase	"Inorganic H+ pyrophosphatase"	2	0.02	117.69	0.01	4.85	0.00	3.58	0.00	108.79	0.01	0.47	0.00
PF13116	DUF3971	"Protein of unknown function"	1	0.01	66.58	0.00	0.06	0.00	0.34	0.00	65.19	0.01	0.98	0.00
PF02958	EcKinase	"Ecdysteroid kinase"	1	0.01	73.16	0.00	0.00	0.00	0.01	0.00	73.10	0.01	0.04	0.00
PF00902	TatC	"Sec-independent protein translocase protein (TatC)"	3	0.03	136.82	0.01	4.85	0.00	3.46	0.00	126.63	0.01	1.87	0.00
PF02780	Transketolase_C	"Transketolase, C-terminal domain"	18	0.17	2753.37	0.18	343.13	0.27	609.53	0.28	886.11	0.10	914.60	0.30
PF02542	YgbB	"YgbB family"	2	0.02	233.37	0.01	5.07	0.00	0.69	0.00	226.77	0.02	0.85	0.00
PF14397	ATPgrasp_ST	"Sugar-transfer associated ATP-grasp"	2	0.02	32.83	0.00	0.08	0.00	0.34	0.00	32.19	0.00	0.22	0.00
PF01784	NIF3	"NIF3 (NGG1p interacting factor 3)"	2	0.02	90.61	0.01	20.85	0.02	18.94	0.01	31.99	0.00	18.81	0.01
PF08388	GIIM	"Group II intron, maturase-specific domain"	4	0.04	1574.24	0.10	0.12	0.00	0.10	0.00	1573.60	0.17	0.42	0.00
PF18181	SLATT_1	"SMODS and SLOG-associating 2TM effector domain 1"	2	0.02	1809.66	0.12	283.07	0.22	587.20	0.27	41.17	0.00	898.22	0.30
PF17289	Terminase_6C	"Terminase RNaseH-like domain"	1	0.01	216.75	0.01	0.12	0.00	0.65	0.00	215.33	0.02	0.66	0.00
PF03610	EIIA-man	"PTS system fructose IIA component"	2	0.02	84.38	0.01	4.53	0.00	0.01	0.00	79.78	0.01	0.07	0.00
PF04551	GcpE	"GcpE protein"	2	0.02	246.98	0.02	0.79	0.00	0.54	0.00	245.08	0.03	0.57	0.00
PF14518	Haem_oxygenas_2	"Iron-containing redox enzyme"	2	0.02	100.96	0.01	0.00	0.00	0.00	0.00	100.96	0.01	0.00	0.00
PF11638	DnaA_N	"DnaA N-terminal domain"	2	0.02	99.58	0.01	9.77	0.01	1.09	0.00	86.04	0.01	2.68	0.00
PF13443	HTH_26	"Cro/C1-type HTH DNA-binding domain"	3	0.03	255.75	0.02	0.13	0.00	0.50	0.00	254.67	0.03	0.45	0.00
PF00497	SBP_bac_3	"Bacterial extracellular solute-binding proteins, family 3"	11	0.11	821.79	0.05	2.84	0.00	1.65	0.00	814.23	0.09	3.07	0.00
PF00196	GerE	"Bacterial regulatory proteins, luxR family"	24	0.23	1306.73	0.08	13.70	0.01	30.52	0.01	1252.02	0.14	10.49	0.00
PF00493	MCM	"MCM P-loop domain"	5	0.05	160.28	0.01	12.14	0.01	1.26	0.00	142.63	0.02	4.26	0.00
PF10718	Ycf34	"Hypothetical chloroplast protein Ycf34"	1	0.01	71.59	0.00	0.00	0.00	0.01	0.00	71.56	0.01	0.02	0.00
PF11117	DUF2626	"Protein of unknown function (DUF2626)"	1	0.01	86.60	0.01	8.13	0.01	0.05	0.00	78.17	0.01	0.24	0.00
PF01578	Cytochrom_C_asm	"Cytochrome C assembly protein"	9	0.09	680.50	0.04	20.22	0.02	41.28	0.02	557.07	0.06	61.94	0.02
PF08352	oligo_HPY	"Oligopeptide/dipeptide transporter, C-terminal region"	16	0.15	1381.73	0.09	5.42	0.00	13.25	0.01	1357.83	0.15	5.23	0.00
PF11680	DUF3276	"Protein of unknown function (DUF3276)"	1	0.01	27.87	0.00	10.00	0.01	1.26	0.00	13.88	0.00	2.73	0.00
PF04362	Iron_traffic	"Bacterial Fe(2+) trafficking"	1	0.01	59.41	0.00	0.00	0.00	0.12	0.00	59.27	0.01	0.02	0.00
PF04012	PspA_IM30	"PspA/IM30 family"	6	0.06	466.61	0.03	0.06	0.00	0.95	0.00	463.71	0.05	1.88	0.00
PF08332	CaMKII_AD	"Calcium/calmodulin dependent protein kinase II association domain"	2	0.02	117.61	0.01	0.56	0.00	18.54	0.01	95.48	0.01	3.02	0.00
PF13366	PDDEXK_3	"PD-(D/E)XK nuclease superfamily"	2	0.02	142.82	0.01	0.00	0.00	0.05	0.00	142.71	0.02	0.07	0.00
PF14089	KbaA	"KinB-signalling pathway activation in sporulation"	2	0.02	136.47	0.01	10.40	0.01	0.09	0.00	125.70	0.01	0.28	0.00
PF07549	Sec_GG	"SecD/SecF GG Motif"	2	0.02	89.64	0.01	8.38	0.01	0.44	0.00	80.31	0.01	0.50	0.00
PF01409	tRNA-synt_2d	"tRNA synthetases class II core domain (F)"	6	0.06	401.40	0.03	18.50	0.01	5.93	0.00	373.78	0.04	3.18	0.00
PF02621	VitK2_biosynth	"Menaquinone biosynthesis"	1	0.01	86.60	0.01	8.13	0.01	0.05	0.00	78.17	0.01	0.24	0.00
PF02768	DNA_pol3_beta_3	"DNA polymerase III beta subunit, C-terminal domain"	3	0.03	116.10	0.01	0.12	0.00	0.13	0.00	115.69	0.01	0.16	0.00
PF03652	RuvX	"Holliday junction resolvase"	3	0.03	261.19	0.02	2.40	0.00	4.01	0.00	253.65	0.03	1.14	0.00
PF13538	UvrD_C_2	"UvrD-like helicase C-terminal domain"	14	0.13	928.57	0.06	11.44	0.01	2.27	0.00	912.74	0.10	2.12	0.00
PF00950	ABC-3	"ABC 3 transport family"	8	0.08	450.37	0.03	7.36	0.01	11.37	0.01	428.66	0.05	2.98	0.00
PF00296	Bac_luciferase	"Luciferase-like monooxygenase"	21	0.20	744.45	0.05	3.84	0.00	27.27	0.01	705.45	0.08	7.89	0.00
PF01555	N6_N4_Mtase	"DNA methylase"	3	0.03	109.39	0.01	1.23	0.00	20.31	0.01	84.59	0.01	3.26	0.00
PF17876	CSD2	"Cold shock domain"	5	0.05	340.66	0.02	1.12	0.00	27.61	0.01	305.65	0.03	6.28	0.00
PF07466	DUF1517	"Protein of unknown function (DUF1517)"	1	0.01	72.38	0.00	0.00	0.00	0.02	0.00	72.33	0.01	0.03	0.00
PF02195	ParBc	"ParB-like nuclease domain"	4	0.04	141.93	0.01	0.15	0.00	3.65	0.00	135.48	0.01	2.65	0.00
PF17972	bMG5	"Bacterial Alpha-2-macroglobulin MG5 domain"	1	0.01	11.37	0.00	0.00	0.00	1.95	0.00	7.71	0.00	1.71	0.00
PF11737	DUF3300	"Protein of unknown function (DUF3300)"	1	0.01	12.91	0.00	0.21	0.00	0.00	0.00	12.65	0.00	0.04	0.00
PF04066	MrpF_PhaF	"Multiple resistance and pH regulation protein F (MrpF / PhaF)"	4	0.04	258.85	0.02	0.27	0.00	4.10	0.00	251.59	0.03	2.89	0.00
PF03120	DNA_ligase_OB	"NAD-dependent DNA ligase OB-fold domain"	4	0.04	196.76	0.01	0.32	0.00	0.70	0.00	195.21	0.02	0.52	0.00
