#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	sprot_id	sprot_desc	Taxonomy
metaerg.pl|00026	NODE_1_length_345883_cov_22.9161	16056	17069	1014	1	No	0	sp|Q839T5|RUVB_ENTFA	"Holliday junction ATP-dependent DNA helicase RuvB"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00027	NODE_1_length_345883_cov_22.9161	17083	18123	1041	1	No	0	sp|Q837H2|QUEA_ENTFA	"S-adenosylmethionine:tRNA ribosyltransferase-isomerase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00028	NODE_1_length_345883_cov_22.9161	18141	19286	1146	1	No	0	sp|Q837E7|TGT_ENTFA	"Queuine tRNA-ribosyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00029	NODE_1_length_345883_cov_22.9161	19437	19772	336	1	YES	1	sp|Q9KDI4|YAJC_BACHD	"Sec translocon accessory complex subunit YajC"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00033	NODE_1_length_345883_cov_22.9161	20260	21414	1155	1	No	0	sp|Q88V07|DPO4_LACPL	"DNA polymerase IV"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00034	NODE_1_length_345883_cov_22.9161	21404	22708	1305	1	No	0	sp|O34921|YTOI_BACSU	"hypothetical protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00035	NODE_1_length_345883_cov_22.9161	22739	23719	981	1	No	0	sp|Q8DTN6|NRNA_STRMU	"Probable bifunctional oligoribonuclease and PAP phosphatase NrnA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00036	NODE_1_length_345883_cov_22.9161	23791	25908	2118	1	No	1	sp|P38050|PBPF_BACSU	"Penicillin-binding protein 1F"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00038	NODE_1_length_345883_cov_22.9161	26009	26350	342	1	No	0	sp|Q03GD8|Y673_PEDPA	"hypothetical protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
metaerg.pl|00039	NODE_1_length_345883_cov_22.9161	26441	27667	1227	1	No	0	sp|O07522|YHAO_BACSU	"Uncharacterized metallophosphoesterase YhaO"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00040	NODE_1_length_345883_cov_22.9161	27669	30476	2808	1	No	1	sp|O08455|YHAN_BACSU	"hypothetical protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00042	NODE_1_length_345883_cov_22.9161	30497	31465	969	1	No	0	sp|B7IK95|YHAM_BACC2	"3'-5' exoribonuclease YhaM"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00048	NODE_1_length_345883_cov_22.9161	33082	33519	438	-1	No	0	sp|O07513|HIT_BACSU	"hypothetical protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00049	NODE_1_length_345883_cov_22.9161	33661	34395	735	1	No	0	sp|P55339|ECSA_BACSU	"ABC-type transporter ATP-binding protein EcsA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00052	NODE_1_length_345883_cov_22.9161	35615	36478	864	1	No	0	sp|Q71Z49|DAAA_LISMF	"D-alanine aminotransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00053	NODE_1_length_345883_cov_22.9161	36591	37376	786	1	No	0	sp|C0SPC1|YTMP_BACSU	"Putative phosphotransferase YtmP"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00054	NODE_1_length_345883_cov_22.9161	37420	38055	636	1	No	0	sp|C5D6C2|TRMB_GEOSW	"tRNA (guanine-N(7)-)-methyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00057	NODE_1_length_345883_cov_22.9161	38664	39734	1071	1	No	0	sp|Q48677|PEPA_LACLM	"Glutamyl aminopeptidase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00058	NODE_1_length_345883_cov_22.9161	39760	40365	606	1	No	0	sp|O34943|YTPR_BACSU	"Putative tRNA-binding protein YtpR"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00060	NODE_1_length_345883_cov_22.9161	41086	42414	1329	1	No	0	sp|Q833N6|MURC_ENTFA	"UDP-N-acetylmuramate--L-alanine ligase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00061	NODE_1_length_345883_cov_22.9161	42555	45218	2664	1	No	0	sp|Q04957|DPO1_BACCA	"DNA polymerase I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00062	NODE_1_length_345883_cov_22.9161	45285	46109	825	1	No	0	sp|Q837G3|FPG_ENTFA	"Formamidopyrimidine-DNA glycosylase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium putridalgicola
metaerg.pl|00063	NODE_1_length_345883_cov_22.9161	46129	46749	621	1	No	0	sp|Q72ZF3|COAE_BACC1	"Dephospho-CoA kinase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00064	NODE_1_length_345883_cov_22.9161	46785	47258	474	1	No	0	sp|B3WF53|NRDR_LACCB	"Transcriptional repressor NrdR"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00066	NODE_1_length_345883_cov_22.9161	48662	49591	930	1	No	0	sp|P06567|DNAI_BACSU	"Primosomal protein DnaI"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00067	NODE_1_length_345883_cov_22.9161	49914	51845	1932	1	No	0	sp|Q830D0|SYT_ENTFA	"Threonine--tRNA ligase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00068	NODE_1_length_345883_cov_22.9161	52073	52597	525	1	No	0	sp|Q837C9|IF3_ENTFA	"Translation initiation factor IF-3"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00069	NODE_1_length_345883_cov_22.9161	52659	52859	201	1	No	0	sp|B7GGV1|RL35_ANOFW	"50S ribosomal protein L35"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00070	NODE_1_length_345883_cov_22.9161	52897	53256	360	1	No	0	sp|Q837C7|RL20_ENTFA	"50S ribosomal protein L20"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00071	NODE_1_length_345883_cov_22.9161	53504	54904	1401	1	No	0	sp|Q8S9J1|PPOCM_ARATH	"Protoporphyrinogen oxidase 2, chloroplastic/mitochondrial"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00072	NODE_1_length_345883_cov_22.9161	55037	55780	744	1	No	0	sp|O07607|YHFI_BACSU	"Probable metallo-hydrolase YhfI"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00073	NODE_1_length_345883_cov_22.9161	55793	56812	1020	1	No	0	sp|O07608|LPLJ_BACSU	"Lipoate-protein ligase LplJ"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855
metaerg.pl|00074	NODE_1_length_345883_cov_22.9161	57099	57506	408	1	No	0	sp|P60377|SPX_LISIN	"Regulatory protein Spx"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00075	NODE_1_length_345883_cov_22.9161	57717	58367	651	1	No	0	sp|Q830U4|MECA_ENTFA	"Adapter protein MecA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00077	NODE_1_length_345883_cov_22.9161	59645	61459	1815	1	No	0	sp|O31605|PEPF_BACSU	"Oligoendopeptidase F homolog"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855
metaerg.pl|00078	NODE_1_length_345883_cov_22.9161	61503	62126	624	-1	No	0	sp|Q5L1S1|Y824_GEOKA	"hypothetical protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00079	NODE_1_length_345883_cov_22.9161	62312	62896	585	-1	No	0	sp|O31609|YJBK_BACSU	"Putative triphosphatase YjbK"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00080	NODE_1_length_345883_cov_22.9161	63003	63626	624	1	No	0	sp|O31611|YJBM_BACSU	"GTP pyrophosphokinase YjbM"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
metaerg.pl|00081	NODE_1_length_345883_cov_22.9161	63644	64456	813	1	No	0	sp|Q03AS0|NADK_LACP3	"NAD kinase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00082	NODE_1_length_345883_cov_22.9161	64446	65342	897	1	No	0	sp|O31613|YJBO_BACSU	"Uncharacterized RNA pseudouridine synthase YjbO"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00083	NODE_1_length_345883_cov_22.9161	65350	65793	444	-1	No	0	sp|Q6GI30|ATSE_STAAR	"Putative acetyltransferase SAR1027"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
metaerg.pl|00084	NODE_1_length_345883_cov_22.9161	65936	67054	1119	1	No	8	sp|O32095|YUEF_BACSU	"Putative transport protein YueF"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00086	NODE_1_length_345883_cov_22.9161	67067	68653	1587	1	No	0	sp|Q1WUZ8|RF3_LACS1	"Peptide chain release factor 3"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00087	NODE_1_length_345883_cov_22.9161	68714	70927	2214	-1	No	0	sp|Q9S5Z2|CLPE_LACLM	"ATP-dependent Clp protease ATP-binding subunit ClpE"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00088	NODE_1_length_345883_cov_22.9161	71262	71528	267	1	No	0	sp|Q9KJV3|PTHP_LACCA	"Phosphocarrier protein HPr"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00089	NODE_1_length_345883_cov_22.9161	71528	73252	1725	1	No	0	sp|P23530|PT1_ENTFA	"Phosphoenolpyruvate-protein phosphotransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00090	NODE_1_length_345883_cov_22.9161	73317	74183	867	1	No	0	sp|O34948|YKWC_BACSU	"Uncharacterized oxidoreductase YkwC"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_C;s__Enterococcus_C massiliensis
metaerg.pl|00091	NODE_1_length_345883_cov_22.9161	74266	75438	1173	-1	No	1	sp|P16524|DAPX_BACSU	"Probable N-acetyl-LL-diaminopimelate aminotransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00094	NODE_1_length_345883_cov_22.9161	75980	76525	546	1	No	0	sp|P54452|YQEG_BACSU	"hypothetical protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00095	NODE_1_length_345883_cov_22.9161	76503	77630	1128	1	No	0	sp|P54453|YQEH_BACSU	"hypothetical protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
metaerg.pl|00096	NODE_1_length_345883_cov_22.9161	77649	77963	315	1	No	0	sp|P71376|Y1333_HAEIN	"RNA-binding protein HI_1333"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00097	NODE_1_length_345883_cov_22.9161	77978	78619	642	1	No	0	sp|Q830B9|NADD_ENTFA	"Probable nicotinate-nucleotide adenylyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00098	NODE_1_length_345883_cov_22.9161	78609	79241	633	1	No	0	sp|P54456|YQEK_BACSU	"hypothetical protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00099	NODE_1_length_345883_cov_22.9161	79222	79581	360	1	No	0	sp|P54457|IOJAP_BACSU	"Ribosomal silencing factor RsfS"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00100	NODE_1_length_345883_cov_22.9161	79581	80303	723	1	No	0	sp|P54458|YQEM_BACSU	"Putative methyltransferase YqeM"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00101	NODE_1_length_345883_cov_22.9161	80314	81507	1194	1	No	0	sp|Q830C2|TMCAL_ENTFA	"tRNA(Met) cytidine acetate ligase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00105	NODE_1_length_345883_cov_22.9161	83078	83509	432	1	No	0	sp|O07103|MRAZ_ENTFA	"Transcriptional regulator MraZ"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00106	NODE_1_length_345883_cov_22.9161	83525	84475	951	1	No	0	sp|B1HPY0|RSMH_LYSSC	"Ribosomal RNA small subunit methyltransferase H"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00109	NODE_1_length_345883_cov_22.9161	84885	87065	2181	1	No	1	sp|Q07868|PBPB_BACSU	"Penicillin-binding protein 2B"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00111	NODE_1_length_345883_cov_22.9161	87084	88046	963	1	No	10	sp|O07107|MRAY_ENTFA	"Phospho-N-acetylmuramoyl-pentapeptide-transferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00113	NODE_1_length_345883_cov_22.9161	88138	89523	1386	1	YES	1	sp|O07108|MURD_ENTFA	"UDP-N-acetylmuramoylalanine--D-glutamate ligase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00116	NODE_1_length_345883_cov_22.9161	89542	90663	1122	1	No	0	sp|A8FCY1|MURG_BACP2	"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00117	NODE_1_length_345883_cov_22.9161	90685	91542	858	1	No	1	sp|F0PBT2|DIVIB_ENTF6	"Cell division protein DivIB"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00119	NODE_1_length_345883_cov_22.9161	91770	93083	1314	1	No	0	sp|O07111|FTSA_ENTFA	"Cell division protein FtsA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00120	NODE_1_length_345883_cov_22.9161	93113	94327	1215	1	No	0	sp|O08439|FTSZ_ENTFA	"Cell division protein FtsZ"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00121	NODE_1_length_345883_cov_22.9161	94349	94819	471	1	No	0	sp|Q65JW1|SEPF_BACLD	"Cell division protein SepF"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00124	NODE_1_length_345883_cov_22.9161	95152	95937	786	1	No	0	sp|P71020|YLMH_BACSU	"Putative RNA-binding protein YlmH"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00125	NODE_1_length_345883_cov_22.9161	96015	96701	687	1	No	0	sp|P71021|DIV4A_BACSU	"Septum site-determining protein DivIVA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium putridalgicola
metaerg.pl|00126	NODE_1_length_345883_cov_22.9161	96959	99733	2775	1	No	0	sp|Q836V1|SYI_ENTFA	"Isoleucine--tRNA ligase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00127	NODE_1_length_345883_cov_22.9161	99926	100126	201	1	No	0	sp|Q5HPE0|CSPA_STAEQ	"Cold shock protein CspA"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00128	NODE_1_length_345883_cov_22.9161	100180	100422	243	-1	No	3	sp|O32282|YWZA_BACSU	"hypothetical protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00130	NODE_1_length_345883_cov_22.9161	100520	101725	1206	-1	No	0	sp|Q92A41|Y2081_LISIN	"hypothetical protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00133	NODE_1_length_345883_cov_22.9161	102604	103161	558	1	No	0	sp|Q8KP10|ACT_BACMT	"Methanol dehydrogenase activator"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00136	NODE_1_length_345883_cov_22.9161	103446	104153	708	1	No	0	sp|C4L559|MTNN_EXISA	"5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00137	NODE_1_length_345883_cov_22.9161	104396	105373	978	1	No	10	sp|P94418|YCLN_BACSU	"Petrobactin import system permease protein YclN"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855
metaerg.pl|00139	NODE_1_length_345883_cov_22.9161	105370	106326	957	1	No	8	sp|P94419|YCLO_BACSU	"Petrobactin import system permease protein YclO"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00141	NODE_1_length_345883_cov_22.9161	106329	107090	762	1	No	0	sp|P94420|YCLP_BACSU	"Petrobactin import ATP-binding protein YclP"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00142	NODE_1_length_345883_cov_22.9161	107112	108107	996	1	YES	0	sp|P94421|YCLQ_BACSU	"Petrobactin-binding protein YclQ"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855
