#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	genomedb_acc	Taxonomy
metaerg.pl|00034	NODE_1_length_345883_cov_22.9161	21404	22708	1305	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00035	NODE_1_length_345883_cov_22.9161	22739	23719	981	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00036	NODE_1_length_345883_cov_22.9161	23791	25908	2118	1	No	1	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00038	NODE_1_length_345883_cov_22.9161	26009	26350	342	1	No	0	GCF_000585255.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
metaerg.pl|00039	NODE_1_length_345883_cov_22.9161	26441	27667	1227	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00040	NODE_1_length_345883_cov_22.9161	27669	30476	2808	1	No	1	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00042	NODE_1_length_345883_cov_22.9161	30497	31465	969	1	No	0	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00043	NODE_1_length_345883_cov_22.9161	31625	32668	1044	1	YES	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00045	NODE_1_length_345883_cov_22.9161	32726	33079	354	-1	YES	1	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00048	NODE_1_length_345883_cov_22.9161	33082	33519	438	-1	No	0	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00049	NODE_1_length_345883_cov_22.9161	33661	34395	735	1	No	0	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00050	NODE_1_length_345883_cov_22.9161	34396	35595	1200	1	No	8	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00052	NODE_1_length_345883_cov_22.9161	35615	36478	864	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00053	NODE_1_length_345883_cov_22.9161	36591	37376	786	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00054	NODE_1_length_345883_cov_22.9161	37420	38055	636	1	No	0	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00055	NODE_1_length_345883_cov_22.9161	38117	38470	354	-1	No	1	GCF_000585255.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
metaerg.pl|00057	NODE_1_length_345883_cov_22.9161	38664	39734	1071	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00058	NODE_1_length_345883_cov_22.9161	39760	40365	606	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00059	NODE_1_length_345883_cov_22.9161	40409	40987	579	1	No	0	GCF_900112455.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium subtropicum
metaerg.pl|00060	NODE_1_length_345883_cov_22.9161	41086	42414	1329	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00061	NODE_1_length_345883_cov_22.9161	42555	45218	2664	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00062	NODE_1_length_345883_cov_22.9161	45285	46109	825	1	No	0	GCF_900109825.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium putridalgicola
metaerg.pl|00063	NODE_1_length_345883_cov_22.9161	46129	46749	621	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00064	NODE_1_length_345883_cov_22.9161	46785	47258	474	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00065	NODE_1_length_345883_cov_22.9161	47274	48659	1386	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00066	NODE_1_length_345883_cov_22.9161	48662	49591	930	1	No	0	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00067	NODE_1_length_345883_cov_22.9161	49914	51845	1932	1	No	0	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00068	NODE_1_length_345883_cov_22.9161	52073	52597	525	1	No	0	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00069	NODE_1_length_345883_cov_22.9161	52659	52859	201	1	No	0	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00070	NODE_1_length_345883_cov_22.9161	52897	53256	360	1	No	0	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00071	NODE_1_length_345883_cov_22.9161	53504	54904	1401	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00072	NODE_1_length_345883_cov_22.9161	55037	55780	744	1	No	0	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00073	NODE_1_length_345883_cov_22.9161	55793	56812	1020	1	No	0	GCA_002500855.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855
metaerg.pl|00074	NODE_1_length_345883_cov_22.9161	57099	57506	408	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00075	NODE_1_length_345883_cov_22.9161	57717	58367	651	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00076	NODE_1_length_345883_cov_22.9161	58471	59547	1077	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00077	NODE_1_length_345883_cov_22.9161	59645	61459	1815	1	No	0	GCA_002500855.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855
metaerg.pl|00078	NODE_1_length_345883_cov_22.9161	61503	62126	624	-1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00079	NODE_1_length_345883_cov_22.9161	62312	62896	585	-1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00080	NODE_1_length_345883_cov_22.9161	63003	63626	624	1	No	0	GCF_000585255.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
metaerg.pl|00081	NODE_1_length_345883_cov_22.9161	63644	64456	813	1	No	0	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00082	NODE_1_length_345883_cov_22.9161	64446	65342	897	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00083	NODE_1_length_345883_cov_22.9161	65350	65793	444	-1	No	0	GCF_000585255.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
metaerg.pl|00084	NODE_1_length_345883_cov_22.9161	65936	67054	1119	1	No	8	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00086	NODE_1_length_345883_cov_22.9161	67067	68653	1587	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00087	NODE_1_length_345883_cov_22.9161	68714	70927	2214	-1	No	0	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00088	NODE_1_length_345883_cov_22.9161	71262	71528	267	1	No	0	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00089	NODE_1_length_345883_cov_22.9161	71528	73252	1725	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00090	NODE_1_length_345883_cov_22.9161	73317	74183	867	1	No	0	GCF_001050095.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_C;s__Enterococcus_C massiliensis
metaerg.pl|00091	NODE_1_length_345883_cov_22.9161	74266	75438	1173	-1	No	1	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00093	NODE_1_length_345883_cov_22.9161	75638	75889	252	1	No	0	GCA_002500855.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855
metaerg.pl|00094	NODE_1_length_345883_cov_22.9161	75980	76525	546	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00095	NODE_1_length_345883_cov_22.9161	76503	77630	1128	1	No	0	GCF_000585255.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp000585255
metaerg.pl|00096	NODE_1_length_345883_cov_22.9161	77649	77963	315	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00097	NODE_1_length_345883_cov_22.9161	77978	78619	642	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00098	NODE_1_length_345883_cov_22.9161	78609	79241	633	1	No	0	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00099	NODE_1_length_345883_cov_22.9161	79222	79581	360	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00100	NODE_1_length_345883_cov_22.9161	79581	80303	723	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00101	NODE_1_length_345883_cov_22.9161	80314	81507	1194	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00102	NODE_1_length_345883_cov_22.9161	81625	82191	567	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00103	NODE_1_length_345883_cov_22.9161	82519	82893	375	1	No	4	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00105	NODE_1_length_345883_cov_22.9161	83078	83509	432	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00106	NODE_1_length_345883_cov_22.9161	83525	84475	951	1	No	0	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00107	NODE_1_length_345883_cov_22.9161	84508	84888	381	1	No	1	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00109	NODE_1_length_345883_cov_22.9161	84885	87065	2181	1	No	1	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00111	NODE_1_length_345883_cov_22.9161	87084	88046	963	1	No	10	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00113	NODE_1_length_345883_cov_22.9161	88138	89523	1386	1	YES	1	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00116	NODE_1_length_345883_cov_22.9161	89542	90663	1122	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00117	NODE_1_length_345883_cov_22.9161	90685	91542	858	1	No	1	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00119	NODE_1_length_345883_cov_22.9161	91770	93083	1314	1	No	0	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00120	NODE_1_length_345883_cov_22.9161	93113	94327	1215	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00121	NODE_1_length_345883_cov_22.9161	94349	94819	471	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00122	NODE_1_length_345883_cov_22.9161	94845	95144	300	1	No	2	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00124	NODE_1_length_345883_cov_22.9161	95152	95937	786	1	No	0	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00125	NODE_1_length_345883_cov_22.9161	96015	96701	687	1	No	0	GCF_900109825.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium putridalgicola
metaerg.pl|00126	NODE_1_length_345883_cov_22.9161	96959	99733	2775	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00127	NODE_1_length_345883_cov_22.9161	99926	100126	201	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00128	NODE_1_length_345883_cov_22.9161	100180	100422	243	-1	No	3	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00130	NODE_1_length_345883_cov_22.9161	100520	101725	1206	-1	No	0	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00131	NODE_1_length_345883_cov_22.9161	101752	102432	681	-1	No	2	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00133	NODE_1_length_345883_cov_22.9161	102604	103161	558	1	No	0	GCF_003003275.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|00134	NODE_1_length_345883_cov_22.9161	103176	103421	246	1	No	1	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00136	NODE_1_length_345883_cov_22.9161	103446	104153	708	1	No	0	GCF_900101165.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium thalassium
metaerg.pl|00137	NODE_1_length_345883_cov_22.9161	104396	105373	978	1	No	10	GCA_002500855.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855
metaerg.pl|00139	NODE_1_length_345883_cov_22.9161	105370	106326	957	1	No	8	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00141	NODE_1_length_345883_cov_22.9161	106329	107090	762	1	No	0	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|00142	NODE_1_length_345883_cov_22.9161	107112	108107	996	1	YES	0	GCA_002500855.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855
metaerg.pl|00144	NODE_1_length_345883_cov_22.9161	108271	108825	555	1	No	0	GCA_002500855.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium sp002500855
metaerg.pl|00145	NODE_1_length_345883_cov_22.9161	108967	110100	1134	1	No	0	GCF_900109325.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
