#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	casgene_name	casgene_acc	Taxonomy
metaerg.pl|03355	NODE_17_length_116352_cov_46.5074	52500	53501	1002	-1	No	0	cas1	"cd09722_cas1_CAS-I-B"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03355	NODE_17_length_116352_cov_46.5074	52500	53501	1002	-1	No	0	cas1	"COG1518_cas1_CAS-I:CAS-II:CAS-III"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03355	NODE_17_length_116352_cov_46.5074	52500	53501	1002	-1	No	0	cas1	"pfam01867_cas1_CAS-I:CAS-II:CAS-III"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03356	NODE_17_length_116352_cov_46.5074	53787	54377	591	-1	No	0	cas4	"cd09637_cas4_CAS-I:CAS-II:CAS-V"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03356	NODE_17_length_116352_cov_46.5074	53787	54377	591	-1	No	0	cas4	"COG1468_cas4_CAS-I-A:CAS-I-B:CAS-I-C:CAS-I-D:CAS-II-B"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03356	NODE_17_length_116352_cov_46.5074	53787	54377	591	-1	No	0	cas4	"pfam01930_cas4_CAS-I"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03357	NODE_17_length_116352_cov_46.5074	54442	55272	831	-1	No	0	cas6	"cd09652_cas6_CAS-I:CAS-III"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03357	NODE_17_length_116352_cov_46.5074	54442	55272	831	-1	No	0	cas6	"COG5551_cas6_CAS-III"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03357	NODE_17_length_116352_cov_46.5074	54442	55272	831	-1	No	0	cas6	"pfam10040_cas6_CAS-III:CAS-IV"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03359	NODE_17_length_116352_cov_46.5074	56138	56845	708	-1	No	0	csc1gr5	"cd09711_csc1gr5_CAS-I-D"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03359	NODE_17_length_116352_cov_46.5074	56138	56845	708	-1	No	0	csc1gr5	"mkCas0129_csc1gr5_CAS-I-D"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03360	NODE_17_length_116352_cov_46.5074	56851	57861	1011	-1	No	0	csc2gr7	"cd09709_csc2gr7_CAS-I-D"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03361	NODE_17_length_116352_cov_46.5074	58011	61310	3300	-1	No	0	cas10d	"cd09712_cas10d_CAS-I-D"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Aulosira;s__Aulosira sp002154695
metaerg.pl|03361	NODE_17_length_116352_cov_46.5074	58011	61310	3300	-1	No	0	cas10d	"mkCas0201_cas10d_CAS-I-D"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Aulosira;s__Aulosira sp002154695
metaerg.pl|03364	NODE_17_length_116352_cov_46.5074	62340	64517	2178	-1	No	0	cas3	"cd09639_cas3_CAS-I"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03364	NODE_17_length_116352_cov_46.5074	62340	64517	2178	-1	No	0	cas3	"cd09710_cas3_CAS-I-D"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03364	NODE_17_length_116352_cov_46.5074	62340	64517	2178	-1	No	0	cas3	"COG1203_cas3_CAS-I"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03364	NODE_17_length_116352_cov_46.5074	62340	64517	2178	-1	No	0	cas3	"mkCas0139_cas3_CAS-I"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03365	NODE_17_length_116352_cov_46.5074	64615	65481	867	1	No	0	WYL	"COG2378_WYL_CAS-I:CAS-III"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03365	NODE_17_length_116352_cov_46.5074	64615	65481	867	1	No	0	WYL	"pfam13280_WYL_CAS-I:CAS-III"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|03492	NODE_18_length_116309_cov_15.0601	45946	46791	846	1	No	0	casR	"cd09655_casR_CAS-I"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor alkaliphilus
metaerg.pl|03492	NODE_18_length_116309_cov_15.0601	45946	46791	846	1	No	0	casR	"cls001593_casR_CAS-I"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor alkaliphilus
metaerg.pl|03499	NODE_18_length_116309_cov_15.0601	52578	52967	390	-1	No	0	csa3	"COG0640_csa3_CAS-I-A"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor alkaliphilus
metaerg.pl|03646	NODE_19_length_114209_cov_55.1989	51275	51604	330	1	No	0	csa3	"COG0640_csa3_CAS-I-A"	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__PALSA-555;s__PALSA-555 sp003140175
metaerg.pl|03785	NODE_20_length_113663_cov_40.4617	57392	58666	1275	-1	No	0	cas3HD	"cd09641_cas3HD_CAS-I"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__Wenzhouxiangella marina
metaerg.pl|03984	NODE_22_length_111498_cov_6.95415	8781	9602	822	-1	No	0	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__Bin94;s__Bin94 sp002238865
metaerg.pl|04170	NODE_23_length_110672_cov_25.9406	49131	50183	1053	1	No	0	WYL	"COG2378_WYL_CAS-I:CAS-III"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor alkaliphilus
metaerg.pl|04170	NODE_23_length_110672_cov_25.9406	49131	50183	1053	1	No	0	WYL	"pfam13280_WYL_CAS-I:CAS-III"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor alkaliphilus
metaerg.pl|04171	NODE_23_length_110672_cov_25.9406	50180	51133	954	1	No	0	WYL	"COG2378_WYL_CAS-I:CAS-III"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor alkaliphilus
metaerg.pl|04171	NODE_23_length_110672_cov_25.9406	50180	51133	954	1	No	0	WYL	"pfam13280_WYL_CAS-I:CAS-III"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor alkaliphilus
metaerg.pl|04194	NODE_23_length_110672_cov_25.9406	64653	65618	966	1	No	0	cas4	"cd09637_cas4_CAS-I:CAS-II:CAS-V"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor alkaliphilus
metaerg.pl|04194	NODE_23_length_110672_cov_25.9406	64653	65618	966	1	No	0	cas4	"COG1468_cas4_CAS-I-A:CAS-I-B:CAS-I-C:CAS-I-D:CAS-II-B"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor alkaliphilus
metaerg.pl|04194	NODE_23_length_110672_cov_25.9406	64653	65618	966	1	No	0	cas4	"pfam01930_cas4_CAS-I"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor alkaliphilus
metaerg.pl|04713	NODE_27_length_107866_cov_7.87431	56035	56448	414	1	No	0	csa3	"COG0640_csa3_CAS-I-A"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_L;s__Pseudomonas_L hussainii
metaerg.pl|04937	NODE_29_length_107521_cov_10.6151	21265	22182	918	-1	No	0	cas4	"cd09637_cas4_CAS-I:CAS-II:CAS-V"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Euzebyales;f__QS-5-72-10;g__QS-5-72-10;s__QS-5-72-10 sp003021615
metaerg.pl|04937	NODE_29_length_107521_cov_10.6151	21265	22182	918	-1	No	0	cas4	"pfam01930_cas4_CAS-I"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Euzebyales;f__QS-5-72-10;g__QS-5-72-10;s__QS-5-72-10 sp003021615
metaerg.pl|05091	NODE_30_length_106785_cov_29.2726	11604	15158	3555	-1	No	0	cas3	"cd09639_cas3_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|05286	NODE_31_length_105199_cov_45.711	75689	76063	375	1	No	0	Cas9_archaeal	"cas9_archaeal"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae_A;g__UBA11371;s__UBA11371 sp003486305
metaerg.pl|05890	NODE_35_length_102026_cov_37.2594	99543	99881	339	-1	No	0	csa3	"COG0640_csa3_CAS-I-A"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__Wenzhouxiangella marina
metaerg.pl|05936	NODE_36_length_101415_cov_28.1246	33491	34840	1350	1	No	0	cas3	"cd09639_cas3_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium olivapovliticus
metaerg.pl|05948	NODE_36_length_101415_cov_28.1246	45129	45431	303	1	No	0	casR	"cd09655_casR_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|05948	NODE_36_length_101415_cov_28.1246	45129	45431	303	1	No	0	casR	"cls001593_casR_CAS-I"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|05948	NODE_36_length_101415_cov_28.1246	45129	45431	303	1	No	0	csa3	"COG0640_csa3_CAS-I-A"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alkalibacterium;s__Alkalibacterium pelagium
metaerg.pl|06336	NODE_39_length_98514_cov_37.6693	68196	69698	1503	1	No	0	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__Wenzhouxiangella marina
metaerg.pl|06376	NODE_39_length_98514_cov_37.6693	95875	96492	618	-1	No	0	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__GCA-2722315 sp002722315
metaerg.pl|06398	NODE_40_length_97460_cov_91.5115	12987	15410	2424	-1	No	0	cas3	"cd09639_cas3_CAS-I"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobaca;s__Rhodobaca barguzinensis
metaerg.pl|06925	NODE_44_length_94246_cov_47.8684	52586	53083	498	1	No	0	Cas9_archaeal	"cas9_archaeal"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|07198	NODE_46_length_92743_cov_8.32321	63145	64221	1077	1	No	0	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Leisingera;s__Leisingera caerulea
metaerg.pl|07472	NODE_48_length_92499_cov_7.50252	73640	73969	330	-1	No	0	csa3	"COG0640_csa3_CAS-I-A"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Halorhodospiraceae;g__Alkalilimnicola;s__Alkalilimnicola ehrlichii
metaerg.pl|07774	NODE_51_length_91149_cov_8.26025	31565	32443	879	-1	No	0	cas6	"cd09652_cas6_CAS-I:CAS-III"	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Mongoliibacter;s__Mongoliibacter ruber
metaerg.pl|07774	NODE_51_length_91149_cov_8.26025	31565	32443	879	-1	No	0	cas6	"cd09759_cas6_CAS-I-A"	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Mongoliibacter;s__Mongoliibacter ruber
metaerg.pl|07774	NODE_51_length_91149_cov_8.26025	31565	32443	879	-1	No	0	cas6	"COG1583_cas6_CAS-I:CAS-III:CAS-IV"	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Mongoliibacter;s__Mongoliibacter ruber
metaerg.pl|07774	NODE_51_length_91149_cov_8.26025	31565	32443	879	-1	No	0	cas6	"pfam01881_cas6_CAS-I:CAS-III"	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Mongoliibacter;s__Mongoliibacter ruber
metaerg.pl|07924	NODE_52_length_90845_cov_32.6744	60725	61294	570	-1	No	0	DEDDh	"cd06127_DEDDh_CAS-I"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__Wenzhouxiangella marina
metaerg.pl|08159	NODE_55_length_88624_cov_53.9337	11027	12001	975	1	No	0	WYL	"COG2378_WYL_CAS-I:CAS-III"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor alkaliphilus
metaerg.pl|08159	NODE_55_length_88624_cov_53.9337	11027	12001	975	1	No	0	WYL	"pfam13280_WYL_CAS-I:CAS-III"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor alkaliphilus
metaerg.pl|08224	NODE_56_length_88412_cov_39.5772	3	1322	1320	1	No	0	DinG	"COG1199_DinG_CAS-IV-A"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__Wenzhouxiangella marina
metaerg.pl|08478	NODE_58_length_88179_cov_12.7286	14219	15475	1257	1	No	0	cas3	"cd09639_cas3_CAS-I"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas boliviensis
metaerg.pl|08747	NODE_60_length_87605_cov_24.2252	46898	47818	921	-1	No	0	casR	"cd09655_casR_CAS-I"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicimonas;s__Tropicimonas isoalkanivorans
metaerg.pl|08747	NODE_60_length_87605_cov_24.2252	46898	47818	921	-1	No	0	casR	"cls001593_casR_CAS-I"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicimonas;s__Tropicimonas isoalkanivorans
metaerg.pl|08747	NODE_60_length_87605_cov_24.2252	46898	47818	921	-1	No	0	csa3	"COG0640_csa3_CAS-I-A"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicimonas;s__Tropicimonas isoalkanivorans
metaerg.pl|09139	NODE_63_length_86995_cov_36.995	64531	65838	1308	-1	No	0	cas3	"cd09639_cas3_CAS-I"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__Wenzhouxiangella marina
metaerg.pl|09139	NODE_63_length_86995_cov_36.995	64531	65838	1308	-1	No	0	cas3	"COG1203_cas3_CAS-I"	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__Wenzhouxiangella marina
metaerg.pl|09392	NODE_66_length_84672_cov_43.9831	10050	13568	3519	1	No	0	cas3	"cd09639_cas3_CAS-I"	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia sp002218065
metaerg.pl|09710	NODE_69_length_84455_cov_14.1722	19856	21289	1434	1	No	0	RT	"pfam00078_RT_CAS-I:CAS-III"	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003158745
