metaerg.pl|00012	K00789
metaerg.pl|00113	K01929
metaerg.pl|00113	K01925
metaerg.pl|00113	K01928
metaerg.pl|00116	K07432
metaerg.pl|00116	K07441
metaerg.pl|00116	K03429
metaerg.pl|00116	K02563
metaerg.pl|00117	K03589
metaerg.pl|00119	K03590
metaerg.pl|00120	K03531
metaerg.pl|00121	K09772
metaerg.pl|00125	K04074
metaerg.pl|00126	K01870
metaerg.pl|00127	K03704
metaerg.pl|00133	K01515
metaerg.pl|00136	K01243
metaerg.pl|00137	K02015
metaerg.pl|00139	K02015
metaerg.pl|00141	K09817
metaerg.pl|00141	K02010
metaerg.pl|00141	K05847
metaerg.pl|00141	K02052
metaerg.pl|00141	K02006
metaerg.pl|00141	K02017
metaerg.pl|00141	K06861
metaerg.pl|00141	K02071
metaerg.pl|00141	K01996
metaerg.pl|00141	K02045
metaerg.pl|00141	K11072
metaerg.pl|00141	K02049
metaerg.pl|00141	K01995
metaerg.pl|00141	K10111
metaerg.pl|00141	K02013
metaerg.pl|00141	K05816
metaerg.pl|00141	K01990
metaerg.pl|00141	K02023
metaerg.pl|00141	K02000
metaerg.pl|00142	K02016
metaerg.pl|00144	K02536
metaerg.pl|00144	K04042
metaerg.pl|00144	K00640
metaerg.pl|00144	K00677
metaerg.pl|00146	K02986
metaerg.pl|00147	K01768
metaerg.pl|00147	K08801
metaerg.pl|00147	K08968
metaerg.pl|00148	K06286
metaerg.pl|00150	K00825
metaerg.pl|00150	K04487
metaerg.pl|00150	K11717
metaerg.pl|00151	K03151
metaerg.pl|00152	K03386
metaerg.pl|00152	K11185
metaerg.pl|00152	K11186
metaerg.pl|00152	K11065
metaerg.pl|00152	K00430
metaerg.pl|00152	K13279
metaerg.pl|00152	K11188
metaerg.pl|00152	K03564
metaerg.pl|00153	K01873
metaerg.pl|00154	K01194
metaerg.pl|00154	K01838
metaerg.pl|00154	K03731
metaerg.pl|00154	K05344
metaerg.pl|00155	K03630
metaerg.pl|00156	K03704
metaerg.pl|00157	K03569
metaerg.pl|00158	K03570
metaerg.pl|00163	K03610
metaerg.pl|00164	K03609
metaerg.pl|00165	K02888
metaerg.pl|00167	K02899
metaerg.pl|00168	K00571
metaerg.pl|00169	K00925
metaerg.pl|00171	K02340
metaerg.pl|00171	K02343
metaerg.pl|00171	K02341
metaerg.pl|00171	K07478
metaerg.pl|00172	K01919
metaerg.pl|00173	K04487
metaerg.pl|00173	K11717
metaerg.pl|00175	K00566
metaerg.pl|00176	K10778
metaerg.pl|00176	K13530
metaerg.pl|00176	K00567
metaerg.pl|00176	K01649
metaerg.pl|00177	K03581
metaerg.pl|00181	K01872
metaerg.pl|00183	K07447
metaerg.pl|00185	K07082
metaerg.pl|00187	K00876
metaerg.pl|00188	K03624
metaerg.pl|00191	K08282
metaerg.pl|00191	K07704
metaerg.pl|00191	K02484
metaerg.pl|00191	K11640
metaerg.pl|00191	K07642
metaerg.pl|00191	K02478
metaerg.pl|00191	K07718
metaerg.pl|00191	K11623
metaerg.pl|00191	K07683
metaerg.pl|00191	K07778
metaerg.pl|00191	K07673
metaerg.pl|00191	K07639
metaerg.pl|00191	K07646
metaerg.pl|00191	K07641
metaerg.pl|00191	K07777
metaerg.pl|00191	K07682
metaerg.pl|00191	K07654
metaerg.pl|00191	K03407
metaerg.pl|00191	K07680
metaerg.pl|00191	K07675
metaerg.pl|00191	K02486
metaerg.pl|00191	K04757
metaerg.pl|00191	K11617
metaerg.pl|00191	K07676
metaerg.pl|00191	K06379
metaerg.pl|00191	K02480
metaerg.pl|00191	K07681
metaerg.pl|00191	K07636
metaerg.pl|00191	K07653
metaerg.pl|00191	K01768
metaerg.pl|00191	K02668
metaerg.pl|00191	K07674
metaerg.pl|00193	K11527
metaerg.pl|00193	K10715
metaerg.pl|00193	K07678
metaerg.pl|00193	K02482
metaerg.pl|00193	K02480
metaerg.pl|00193	K07653
metaerg.pl|00193	K07636
metaerg.pl|00193	K02489
metaerg.pl|00193	K07716
metaerg.pl|00193	K07710
metaerg.pl|00193	K02668
metaerg.pl|00193	K03388
metaerg.pl|00193	K07674
metaerg.pl|00193	K08479
metaerg.pl|00193	K10916
metaerg.pl|00193	K07647
metaerg.pl|00193	K07675
metaerg.pl|00193	K07717
metaerg.pl|00193	K12767
metaerg.pl|00193	K02486
metaerg.pl|00193	K11383
metaerg.pl|00193	K04757
metaerg.pl|00193	K11357
metaerg.pl|00193	K07644
metaerg.pl|00193	K01769
metaerg.pl|00193	K06379
metaerg.pl|00193	K07676
metaerg.pl|00193	K10681
metaerg.pl|00193	K07679
metaerg.pl|00193	K07648
metaerg.pl|00193	K07651
metaerg.pl|00193	K07718
metaerg.pl|00193	K07768
metaerg.pl|00193	K07641
metaerg.pl|00193	K07646
metaerg.pl|00193	K07673
metaerg.pl|00193	K07652
metaerg.pl|00193	K07654
metaerg.pl|00193	K03407
metaerg.pl|00193	K11231
metaerg.pl|00193	K07677
metaerg.pl|00193	K07708
metaerg.pl|00193	K08282
metaerg.pl|00193	K02484
metaerg.pl|00193	K11711
metaerg.pl|00193	K07642
metaerg.pl|00193	K07694
metaerg.pl|00194	K12574
metaerg.pl|00199	K01462
metaerg.pl|00200	K00162
metaerg.pl|00200	K00166
metaerg.pl|00200	K11381
metaerg.pl|00200	K00161
metaerg.pl|00201	K11381
metaerg.pl|00201	K00161
metaerg.pl|00201	K00162
metaerg.pl|00201	K00615
metaerg.pl|00201	K00167
metaerg.pl|00202	K11381
metaerg.pl|00202	K09699
metaerg.pl|00202	K00658
metaerg.pl|00202	K00162
metaerg.pl|00202	K00163
metaerg.pl|00202	K00382
metaerg.pl|00203	K03388
metaerg.pl|00203	K00383
metaerg.pl|00203	K00658
metaerg.pl|00203	K00384
metaerg.pl|00203	K00219
metaerg.pl|00203	K03885
metaerg.pl|00203	K00356
metaerg.pl|00203	K10797
metaerg.pl|00203	K00529
metaerg.pl|00203	K00382
metaerg.pl|00203	K00363
metaerg.pl|00203	K00362
metaerg.pl|00203	K00266
metaerg.pl|00203	K01008
metaerg.pl|00204	K01092
metaerg.pl|00205	K00955
metaerg.pl|00205	K00956
metaerg.pl|00205	K00860
metaerg.pl|00205	K06207
metaerg.pl|00208	K00599
metaerg.pl|00209	K00954
metaerg.pl|00210	K07177
metaerg.pl|00213	K02237
metaerg.pl|00215	K01493
metaerg.pl|00216	K02238
metaerg.pl|00218	K02340
metaerg.pl|00219	K02968
metaerg.pl|00220	K05591
metaerg.pl|00220	K10896
metaerg.pl|00220	K03702
metaerg.pl|00221	K02825
metaerg.pl|00221	K00762
metaerg.pl|00222	K00609
metaerg.pl|00222	K11540
metaerg.pl|00222	K01954
metaerg.pl|00222	K01956
metaerg.pl|00222	K00610
metaerg.pl|00222	K01955
metaerg.pl|00222	K11541
metaerg.pl|00223	K01465
metaerg.pl|00224	K01663
metaerg.pl|00224	K01956
metaerg.pl|00224	K01656
metaerg.pl|00224	K02619
metaerg.pl|00224	K03342
metaerg.pl|00224	K01657
metaerg.pl|00224	K11540
metaerg.pl|00224	K00609
metaerg.pl|00224	K01954
metaerg.pl|00224	K01664
metaerg.pl|00224	K01665
metaerg.pl|00224	K01951
metaerg.pl|00224	K01658
metaerg.pl|00224	K13501
metaerg.pl|00224	K01955
metaerg.pl|00224	K11541
metaerg.pl|00224	K13950
metaerg.pl|00224	K13497
metaerg.pl|00225	K01958
metaerg.pl|00225	K00609
metaerg.pl|00225	K01960
metaerg.pl|00225	K01968
metaerg.pl|00225	K11540
metaerg.pl|00225	K01948
metaerg.pl|00225	K01921
metaerg.pl|00225	K01954
metaerg.pl|00225	K01956
metaerg.pl|00225	K01940
metaerg.pl|00225	K14541
metaerg.pl|00225	K01959
metaerg.pl|00225	K01941
metaerg.pl|00225	K01457
metaerg.pl|00225	K01955
metaerg.pl|00225	K01945
metaerg.pl|00225	K01965
metaerg.pl|00225	K11541
metaerg.pl|00225	K01589
metaerg.pl|00225	K13713
metaerg.pl|00226	K00226
metaerg.pl|00227	K01591
metaerg.pl|00227	K13421
metaerg.pl|00228	K01591
metaerg.pl|00228	K02035
metaerg.pl|00228	K13421
metaerg.pl|00228	K00762
metaerg.pl|00229	K02956
metaerg.pl|00230	K12818
metaerg.pl|00230	K00962
metaerg.pl|00231	K03524
metaerg.pl|00232	K12574
metaerg.pl|00233	K16789
metaerg.pl|00235	K06131
metaerg.pl|00237	K06131
metaerg.pl|00239	K02000
metaerg.pl|00239	K10000
metaerg.pl|00239	K02023
metaerg.pl|00239	K02018
metaerg.pl|00239	K02036
metaerg.pl|00239	K01990
metaerg.pl|00239	K10243
metaerg.pl|00239	K11076
metaerg.pl|00239	K01697
metaerg.pl|00239	K10235
metaerg.pl|00239	K05816
metaerg.pl|00239	K01998
metaerg.pl|00239	K10111
metaerg.pl|00239	K10112
metaerg.pl|00239	K02031
metaerg.pl|00239	K02049
metaerg.pl|00239	K01995
metaerg.pl|00239	K02065
metaerg.pl|00239	K02045
metaerg.pl|00239	K11072
metaerg.pl|00239	K02806
metaerg.pl|00239	K00974
metaerg.pl|00239	K06021
metaerg.pl|00239	K06861
metaerg.pl|00239	K00970
metaerg.pl|00239	K02071
metaerg.pl|00239	K01996
metaerg.pl|00239	K02032
metaerg.pl|00239	K00088
metaerg.pl|00239	K02017
metaerg.pl|00239	K11084
metaerg.pl|00239	K02004
metaerg.pl|00239	K02006
metaerg.pl|00239	K02052
metaerg.pl|00239	K02010
metaerg.pl|00239	K05847
metaerg.pl|00239	K01997
metaerg.pl|00239	K02003
metaerg.pl|00240	K02001
metaerg.pl|00240	K05846
metaerg.pl|00240	K05845
metaerg.pl|00242	K05846
metaerg.pl|00242	K05845
metaerg.pl|00245	K05845
metaerg.pl|00245	K05846
metaerg.pl|00245	K02001
metaerg.pl|00250	K02123
metaerg.pl|00252	K03661
metaerg.pl|00252	K02128
metaerg.pl|00252	K02155
metaerg.pl|00252	K02124
metaerg.pl|00252	K02110
metaerg.pl|00252	K00872
metaerg.pl|00255	K02119
metaerg.pl|00256	K02122
metaerg.pl|00257	K02117
metaerg.pl|00258	K02118
metaerg.pl|00259	K02120
metaerg.pl|00261	K00942
metaerg.pl|00262	K03055
metaerg.pl|00262	K03060
metaerg.pl|00263	K13038
metaerg.pl|00264	K05591
metaerg.pl|00264	K10896
metaerg.pl|00264	K04066
metaerg.pl|00265	K11788
metaerg.pl|00265	K11787
metaerg.pl|00265	K01933
metaerg.pl|00265	K11175
metaerg.pl|00265	K00604
metaerg.pl|00266	K03500
metaerg.pl|00267	K11915
metaerg.pl|00267	K01090
metaerg.pl|00267	K20074
metaerg.pl|00268	K05098
metaerg.pl|00268	K05112
metaerg.pl|00268	K08809
metaerg.pl|00268	K04373
metaerg.pl|00268	K08792
metaerg.pl|00268	K06632
metaerg.pl|00268	K03587
metaerg.pl|00268	K08286
metaerg.pl|00268	K08850
metaerg.pl|00268	K01768
metaerg.pl|00268	K02489
metaerg.pl|00268	K13417
metaerg.pl|00268	K08805
metaerg.pl|00268	K04420
metaerg.pl|00268	K06272
metaerg.pl|00268	K04421
metaerg.pl|00268	K04425
metaerg.pl|00268	K08859
metaerg.pl|00268	K04445
metaerg.pl|00268	K07636
metaerg.pl|00268	K05091
metaerg.pl|00268	K13416
metaerg.pl|00268	K02482
metaerg.pl|00268	K02480
metaerg.pl|00268	K05096
metaerg.pl|00268	K07678
metaerg.pl|00268	K08864
metaerg.pl|00268	K12776
metaerg.pl|00268	K05097
metaerg.pl|00268	K12320
metaerg.pl|00268	K11527
metaerg.pl|00268	K08843
metaerg.pl|00268	K12321
metaerg.pl|00268	K03114
metaerg.pl|00268	K04367
metaerg.pl|00268	K04443
metaerg.pl|00268	K08847
metaerg.pl|00268	K01769
metaerg.pl|00268	K01728
metaerg.pl|00268	K04372
metaerg.pl|00268	K08865
metaerg.pl|00268	K05688
metaerg.pl|00268	K05121
metaerg.pl|00268	K13304
metaerg.pl|00268	K13303
metaerg.pl|00268	K12323
metaerg.pl|00268	K02486
metaerg.pl|00268	K13414
metaerg.pl|00268	K11383
metaerg.pl|00268	K08853
metaerg.pl|00268	K12567
metaerg.pl|00268	K12767
metaerg.pl|00268	K04688
metaerg.pl|00268	K02178
metaerg.pl|00268	K08841
metaerg.pl|00268	K07675
metaerg.pl|00268	K07647
metaerg.pl|00268	K13986
metaerg.pl|00268	K03407
metaerg.pl|00268	K13302
metaerg.pl|00268	K00924
metaerg.pl|00268	K04424
metaerg.pl|00268	K07682
metaerg.pl|00268	K05743
metaerg.pl|00268	K02831
metaerg.pl|00268	K07652
metaerg.pl|00268	K04426
metaerg.pl|00268	K07673
metaerg.pl|00268	K11265
metaerg.pl|00268	K12324
metaerg.pl|00268	K08884
metaerg.pl|00268	K12319
metaerg.pl|00268	K12318
metaerg.pl|00268	K05113
metaerg.pl|00268	K06103
metaerg.pl|00268	K08810
metaerg.pl|00268	K07683
metaerg.pl|00268	K07778
metaerg.pl|00268	K04427
metaerg.pl|00268	K11623
metaerg.pl|00268	K06641
metaerg.pl|00268	K04442
metaerg.pl|00268	K05111
metaerg.pl|00268	K05744
metaerg.pl|00268	K08846
metaerg.pl|00268	K05105
metaerg.pl|00268	K04444
metaerg.pl|00268	K11889
metaerg.pl|00268	K08848
metaerg.pl|00268	K06633
metaerg.pl|00268	K08897
metaerg.pl|00268	K11228
metaerg.pl|00268	K02484
metaerg.pl|00268	K08844
metaerg.pl|00268	K11912
metaerg.pl|00268	K08790
metaerg.pl|00268	K08854
metaerg.pl|00268	K02861
metaerg.pl|00268	K13418
metaerg.pl|00268	K08282
metaerg.pl|00268	K08856
metaerg.pl|00268	K05102
metaerg.pl|00268	K08333
metaerg.pl|00268	K05103
metaerg.pl|00268	K13490
metaerg.pl|00268	K08860
metaerg.pl|00268	K08855
metaerg.pl|00268	K12132
metaerg.pl|00270	K06949
metaerg.pl|00271	K01783
metaerg.pl|00272	K00949
metaerg.pl|00276	K07030
metaerg.pl|00277	K10896
metaerg.pl|00277	K05592
metaerg.pl|00277	K05591
metaerg.pl|00277	K03655
metaerg.pl|00278	K03621
metaerg.pl|00279	K01586
metaerg.pl|00279	K05939
metaerg.pl|00279	K01909
metaerg.pl|00279	K03955
metaerg.pl|00279	K01897
metaerg.pl|00279	K02078
metaerg.pl|00280	K02000
metaerg.pl|00280	K02023
metaerg.pl|00280	K05816
metaerg.pl|00280	K10111
metaerg.pl|00280	K02031
metaerg.pl|00280	K02049
metaerg.pl|00280	K01995
metaerg.pl|00280	K02045
metaerg.pl|00280	K02071
metaerg.pl|00280	K06861
metaerg.pl|00280	K01996
metaerg.pl|00280	K02032
metaerg.pl|00280	K02034
metaerg.pl|00280	K02017
metaerg.pl|00280	K13896
metaerg.pl|00280	K12371
metaerg.pl|00280	K02052
metaerg.pl|00280	K02006
metaerg.pl|00280	K02010
metaerg.pl|00280	K05847
metaerg.pl|00281	K02023
metaerg.pl|00281	K02000
metaerg.pl|00281	K02049
metaerg.pl|00281	K01995
metaerg.pl|00281	K10112
metaerg.pl|00281	K10111
metaerg.pl|00281	K01998
metaerg.pl|00281	K02031
metaerg.pl|00281	K05816
metaerg.pl|00281	K01996
metaerg.pl|00281	K06861
metaerg.pl|00281	K02071
metaerg.pl|00281	K11072
metaerg.pl|00281	K02045
metaerg.pl|00281	K05847
metaerg.pl|00281	K02010
metaerg.pl|00281	K01997
metaerg.pl|00281	K02052
metaerg.pl|00281	K02006
metaerg.pl|00281	K13896
metaerg.pl|00281	K02032
metaerg.pl|00282	K02033
metaerg.pl|00282	K13894
metaerg.pl|00284	K02034
metaerg.pl|00286	K02035
metaerg.pl|00288	K02004
metaerg.pl|00288	K09813
metaerg.pl|00290	K02031
metaerg.pl|00290	K10111
metaerg.pl|00290	K10112
metaerg.pl|00290	K02065
metaerg.pl|00290	K01995
metaerg.pl|00290	K02049
metaerg.pl|00290	K05816
metaerg.pl|00290	K10235
metaerg.pl|00290	K02013
metaerg.pl|00290	K02018
metaerg.pl|00290	K02023
metaerg.pl|00290	K01990
metaerg.pl|00290	K11962
metaerg.pl|00290	K02000
metaerg.pl|00290	K02006
metaerg.pl|00290	K02052
metaerg.pl|00290	K02004
metaerg.pl|00290	K02003
metaerg.pl|00290	K05847
metaerg.pl|00290	K02010
metaerg.pl|00290	K02017
metaerg.pl|00290	K02032
metaerg.pl|00290	K01996
metaerg.pl|00290	K02071
metaerg.pl|00290	K06861
metaerg.pl|00290	K11072
metaerg.pl|00290	K02045
metaerg.pl|00290	K09814
metaerg.pl|00291	K03388
metaerg.pl|00291	K10209
metaerg.pl|00293	K21064
metaerg.pl|00295	K14162
metaerg.pl|00295	K02323
metaerg.pl|00295	K02337
metaerg.pl|00295	K03763
metaerg.pl|00296	K00895
metaerg.pl|00296	K00850
metaerg.pl|00297	K01007
metaerg.pl|00297	K08484
metaerg.pl|00297	K12406
metaerg.pl|00297	K00873
metaerg.pl|00297	K08483
metaerg.pl|00298	K00243
metaerg.pl|00299	K03711
metaerg.pl|00300	K04763
metaerg.pl|00301	K01839
metaerg.pl|00302	K03783
metaerg.pl|00303	K01581
metaerg.pl|00303	K01583
metaerg.pl|00303	K01586
metaerg.pl|00303	K01585
metaerg.pl|00303	K12526
metaerg.pl|00304	K02859
metaerg.pl|00305	K05896
metaerg.pl|00306	K06024
metaerg.pl|00307	K06178
metaerg.pl|00308	K11356
metaerg.pl|00308	K11640
metaerg.pl|00308	K00760
metaerg.pl|00308	K02484
metaerg.pl|00308	K07642
metaerg.pl|00308	K11711
metaerg.pl|00308	K13490
metaerg.pl|00308	K11231
metaerg.pl|00308	K10909
metaerg.pl|00308	K07704
metaerg.pl|00308	K08282
metaerg.pl|00308	K01937
metaerg.pl|00308	K07708
metaerg.pl|00308	K07645
metaerg.pl|00308	K07677
metaerg.pl|00308	K07652
metaerg.pl|00308	K07646
metaerg.pl|00308	K07641
metaerg.pl|00308	K07673
metaerg.pl|00308	K01120
metaerg.pl|00308	K08475
metaerg.pl|00308	K07639
metaerg.pl|00308	K03407
metaerg.pl|00308	K07637
metaerg.pl|00308	K07654
metaerg.pl|00308	K00936
metaerg.pl|00308	K07682
metaerg.pl|00308	K07651
metaerg.pl|00308	K07718
metaerg.pl|00308	K02478
metaerg.pl|00308	K07679
metaerg.pl|00308	K07648
metaerg.pl|00308	K08884
metaerg.pl|00308	K07711
metaerg.pl|00308	K00873
metaerg.pl|00308	K11354
metaerg.pl|00308	K07778
metaerg.pl|00308	K02575
metaerg.pl|00308	K07768
metaerg.pl|00308	K07644
metaerg.pl|00308	K07709
metaerg.pl|00308	K07650
metaerg.pl|00308	K10681
metaerg.pl|00308	K07676
metaerg.pl|00308	K06379
metaerg.pl|00308	K01769
metaerg.pl|00308	K07717
metaerg.pl|00308	K07675
metaerg.pl|00308	K07647
metaerg.pl|00308	K04757
metaerg.pl|00308	K11357
metaerg.pl|00308	K10125
metaerg.pl|00308	K13761
metaerg.pl|00308	K02486
metaerg.pl|00308	K11383
metaerg.pl|00308	K12767
metaerg.pl|00308	K07769
metaerg.pl|00308	K07710
metaerg.pl|00308	K07640
metaerg.pl|00308	K01768
metaerg.pl|00308	K07697
metaerg.pl|00308	K02489
metaerg.pl|00308	K07716
metaerg.pl|00308	K08479
metaerg.pl|00308	K10916
metaerg.pl|00308	K02668
metaerg.pl|00308	K03388
metaerg.pl|00308	K07678
metaerg.pl|00308	K10715
metaerg.pl|00308	K11527
metaerg.pl|00308	K02030
metaerg.pl|00308	K07653
metaerg.pl|00308	K07638
metaerg.pl|00308	K07636
metaerg.pl|00308	K14489
metaerg.pl|00308	K02482
metaerg.pl|00308	K02480
metaerg.pl|00308	K07775
metaerg.pl|00309	K07644
metaerg.pl|00309	K13532
metaerg.pl|00309	K07709
metaerg.pl|00309	K10681
metaerg.pl|00309	K07676
metaerg.pl|00309	K06379
metaerg.pl|00309	K07650
metaerg.pl|00309	K01769
metaerg.pl|00309	K07717
metaerg.pl|00309	K07675
metaerg.pl|00309	K13040
metaerg.pl|00309	K10942
metaerg.pl|00309	K07647
metaerg.pl|00309	K11357
metaerg.pl|00309	K10125
metaerg.pl|00309	K11629
metaerg.pl|00309	K04757
metaerg.pl|00309	K14509
metaerg.pl|00309	K11520
metaerg.pl|00309	K07769
metaerg.pl|00309	K02486
metaerg.pl|00309	K11383
metaerg.pl|00309	K12767
metaerg.pl|00309	K01768
metaerg.pl|00309	K07656
metaerg.pl|00309	K07710
metaerg.pl|00309	K07640
metaerg.pl|00309	K07716
metaerg.pl|00309	K07697
metaerg.pl|00309	K02489
metaerg.pl|00309	K10916
metaerg.pl|00309	K08479
metaerg.pl|00309	K07674
metaerg.pl|00309	K03388
metaerg.pl|00309	K02668
metaerg.pl|00309	K07678
metaerg.pl|00309	K10715
metaerg.pl|00309	K13587
metaerg.pl|00309	K11527
metaerg.pl|00309	K02030
metaerg.pl|00309	K07636
metaerg.pl|00309	K07653
metaerg.pl|00309	K07638
metaerg.pl|00309	K02480
metaerg.pl|00309	K14489
metaerg.pl|00309	K02482
metaerg.pl|00309	K11640
metaerg.pl|00309	K11356
metaerg.pl|00309	K02484
metaerg.pl|00309	K07642
metaerg.pl|00309	K11711
metaerg.pl|00309	K02491
metaerg.pl|00309	K11231
metaerg.pl|00309	K07643
metaerg.pl|00309	K08282
metaerg.pl|00309	K07704
metaerg.pl|00309	K10909
metaerg.pl|00309	K07645
metaerg.pl|00309	K07677
metaerg.pl|00309	K07708
metaerg.pl|00309	K07652
metaerg.pl|00309	K07673
metaerg.pl|00309	K08475
metaerg.pl|00309	K07639
metaerg.pl|00309	K07646
metaerg.pl|00309	K13598
metaerg.pl|00309	K07641
metaerg.pl|00309	K07637
metaerg.pl|00309	K03407
metaerg.pl|00309	K07777
metaerg.pl|00309	K00936
metaerg.pl|00309	K07682
metaerg.pl|00309	K07649
metaerg.pl|00309	K07654
metaerg.pl|00309	K07698
metaerg.pl|00309	K07718
metaerg.pl|00309	K07651
metaerg.pl|00309	K07648
metaerg.pl|00309	K02478
metaerg.pl|00309	K07679
metaerg.pl|00309	K11328
metaerg.pl|00309	K13533
metaerg.pl|00309	K08884
metaerg.pl|00309	K00873
metaerg.pl|00309	K07711
metaerg.pl|00309	K07768
metaerg.pl|00309	K11633
metaerg.pl|00309	K11354
metaerg.pl|00309	K07778
metaerg.pl|00315	K13182
metaerg.pl|00315	K11927
metaerg.pl|00315	K10896
metaerg.pl|00315	K12812
metaerg.pl|00315	K01509
metaerg.pl|00315	K05591
metaerg.pl|00315	K13131
metaerg.pl|00315	K03732
metaerg.pl|00315	K12614
metaerg.pl|00315	K05592
metaerg.pl|00315	K03725
