metaerg.pl|00012	2.5.1.6
metaerg.pl|00981	2.3.1.47
metaerg.pl|00986	2.3.1.-
metaerg.pl|00995	1.14.11.33
metaerg.pl|00996	3.1.11.6
metaerg.pl|00997	6.3.4.19
metaerg.pl|00997	6.3.4.-
metaerg.pl|00998	2.1.3.15
metaerg.pl|00998	6.4.1.2
metaerg.pl|00999	6.1.1.-
metaerg.pl|01000	3.4.24.-
metaerg.pl|01003	5.4.3.-
metaerg.pl|01005	3.5.4.28
metaerg.pl|01006	2.1.1.222
metaerg.pl|01006	2.1.1.64
metaerg.pl|01007	3.1.3.18
metaerg.pl|01013	1.-.-.-
metaerg.pl|01014	3.9.1.-
metaerg.pl|01015	1.15.1.1
metaerg.pl|01017	2.6.1.76
metaerg.pl|01019	1.1.1.95
metaerg.pl|01020	1.1.99.-
metaerg.pl|01021	3.4.21.-
metaerg.pl|01025	3.1.2.-
metaerg.pl|01046	1.3.1.104
metaerg.pl|01050	2.7.1.24
metaerg.pl|01057	3.6.-.-
metaerg.pl|01060	2.1.1.297
metaerg.pl|01060	2.1.1.-
metaerg.pl|01065	3.2.2.31
metaerg.pl|01065	3.2.2.-
metaerg.pl|01067	2.1.1.171
metaerg.pl|01068	2.7.7.3
metaerg.pl|01069	3.4.19.13
metaerg.pl|01069	2.3.2.2
metaerg.pl|01073	2.1.1.228
metaerg.pl|01083	2.7.7.7
metaerg.pl|01106	3.5.2.6
metaerg.pl|01110	2.4.1.-
metaerg.pl|01114	1.17.4.1
metaerg.pl|01115	2.1.1.207
metaerg.pl|01116	1.1.1.94
metaerg.pl|01120	5.4.2.12
metaerg.pl|01124	3.4.21.102
metaerg.pl|01124	3.4.21.-
metaerg.pl|01128	2.8.2.-
metaerg.pl|01139	1.5.5.2
metaerg.pl|01139	1.2.1.88
metaerg.pl|01142	1.9.3.1
metaerg.pl|01144	1.9.3.1
metaerg.pl|01148	1.9.3.1
metaerg.pl|01150	3.6.4.-
metaerg.pl|01154	6.2.1.3
metaerg.pl|01155	2.7.7.7
metaerg.pl|01156	2.8.1.7
metaerg.pl|01377	3.1.26.4
metaerg.pl|01393	5.4.99.-
metaerg.pl|01394	4.3.2.10
metaerg.pl|01394	2.4.2.-
metaerg.pl|01395	4.2.1.19
metaerg.pl|01396	2.4.2.1
metaerg.pl|01404	4.3.2.2
metaerg.pl|01407	1.1.-.-
metaerg.pl|01408	3.5.1.11
metaerg.pl|01413	2.3.1.31
metaerg.pl|01413	2.3.1.46
metaerg.pl|01415	3.4.24.-
metaerg.pl|01418	2.7.1.170
metaerg.pl|01419	6.1.1.1
metaerg.pl|01422	1.1.1.205
metaerg.pl|01425	3.1.3.18
metaerg.pl|01426	5.1.3.1
metaerg.pl|01427	2.8.1.8
metaerg.pl|01430	3.6.4.-
metaerg.pl|01430	3.6.1.-
metaerg.pl|01434	1.2.1.12
metaerg.pl|01434	1.2.1.-
metaerg.pl|01436	1.2.1.12
metaerg.pl|01436	1.2.1.-
metaerg.pl|01441	1.1.-.-
metaerg.pl|01444	3.1.1.29
metaerg.pl|01451	4.2.1.20
metaerg.pl|01452	3.4.23.-
metaerg.pl|01454	1.14.13.24
metaerg.pl|01465	5.2.1.8
metaerg.pl|01468	5.2.1.8
metaerg.pl|01469	2.7.2.3
metaerg.pl|01475	3.1.-.-
metaerg.pl|01478	1.5.3.1
metaerg.pl|01482	1.5.3.1
metaerg.pl|01484	1.15.1.1
metaerg.pl|01486	2.3.1.16
metaerg.pl|01487	3.1.13.1
metaerg.pl|01489	3.5.1.18
metaerg.pl|01492	2.3.1.-
metaerg.pl|01492	2.3.1.191
metaerg.pl|01493	1.5.1.42
metaerg.pl|01494	1.3.1.75
metaerg.pl|01499	3.-.-.-
metaerg.pl|01502	2.5.1.9
metaerg.pl|01507	3.1.-.-
metaerg.pl|01508	2.7.1.33
metaerg.pl|01509	6.3.4.15
metaerg.pl|01510	7.1.1.-
metaerg.pl|01512	7.1.1.-
metaerg.pl|01514	7.1.1.-
metaerg.pl|01514	1.6.-.-
metaerg.pl|01516	7.1.1.-
metaerg.pl|01518	7.1.1.-
metaerg.pl|01520	7.1.1.-
metaerg.pl|01521	7.1.1.-
metaerg.pl|01525	7.1.1.-
metaerg.pl|01525	1.6.99.5
metaerg.pl|01530	7.1.1.-
metaerg.pl|01530	1.6.99.5
metaerg.pl|01534	7.1.1.-
metaerg.pl|01534	1.6.99.5
metaerg.pl|01536	7.1.1.-
metaerg.pl|01537	7.1.1.-
metaerg.pl|01538	7.1.1.-
metaerg.pl|01540	4.2.1.116
metaerg.pl|01541	4.1.3.4
metaerg.pl|01543	6.4.1.4
metaerg.pl|01544	6.4.1.4
metaerg.pl|01547	1.3.8.4
metaerg.pl|01562	7.1.2.2
metaerg.pl|01562	3.6.3.14
metaerg.pl|01563	6.1.1.10
metaerg.pl|01567	2.6.1.76
metaerg.pl|01568	3.5.4.44
metaerg.pl|01570	1.8.4.8
metaerg.pl|01571	1.8.7.1
metaerg.pl|01573	2.1.1.107
metaerg.pl|01573	1.3.1.76
metaerg.pl|01573	4.99.1.4
metaerg.pl|01579	2.3.1.41
metaerg.pl|01581	1.3.1.9
metaerg.pl|01587	1.11.1.21
metaerg.pl|01587	1.11.1.6
metaerg.pl|01588	1.-.-.-
metaerg.pl|01589	2.6.1.42
metaerg.pl|01594	1.1.99.1
metaerg.pl|01595	1.2.1.8
metaerg.pl|01615	5.1.1.7
metaerg.pl|01616	2.8.4.5
metaerg.pl|01616	2.1.1.- 2.8.1.-
metaerg.pl|01617	3.6.3.-
metaerg.pl|01622	4.2.3.5
metaerg.pl|01639	3.5.1.5
metaerg.pl|01642	3.5.1.5
metaerg.pl|01646	3.5.1.5
metaerg.pl|01648	3.1.11.2
metaerg.pl|01650	3.4.16.4
metaerg.pl|01652	2.3.1.12
metaerg.pl|01653	1.2.1.16
metaerg.pl|01655	1.1.1.-
metaerg.pl|01656	1.1.1.-
metaerg.pl|01658	1.1.1.304
metaerg.pl|01666	7.5.2.7
metaerg.pl|01669	3.5.3.11
metaerg.pl|01670	3.6.3.-
metaerg.pl|01687	2.1.1.17
metaerg.pl|01689	3.1.5.1
metaerg.pl|01691	2.7.7.3
metaerg.pl|01701	3.2.2.-
metaerg.pl|01707	2.7.13.3
metaerg.pl|01715	3.5.1.108
metaerg.pl|01715	3.5.1.-
metaerg.pl|01724	2.7.7.18
metaerg.pl|01731	2.7.7.38
metaerg.pl|01732	2.5.1.55
metaerg.pl|01733	4.1.1.37
metaerg.pl|01734	2.5.1.61
metaerg.pl|01741	2.7.7.2
metaerg.pl|01742	1.-.-.-
metaerg.pl|01743	2.2.1.6
metaerg.pl|01744	3.1.3.-
metaerg.pl|01745	2.1.1.171
metaerg.pl|01746	1.18.1.3
metaerg.pl|01747	1.11.1.15
metaerg.pl|01749	4.2.1.96
metaerg.pl|01750	2.1.1.173
metaerg.pl|01753	6.3.4.4
metaerg.pl|01756	6.3.4.2
metaerg.pl|01757	4.4.1.3
metaerg.pl|01762	3.1.2.12
metaerg.pl|01763	1.5.1.49
metaerg.pl|01767	3.4.11.18
metaerg.pl|01772	6.4.1.1
metaerg.pl|01773	1.1.-.-
metaerg.pl|01775	3.6.4.12
metaerg.pl|01781	2.1.1.199
metaerg.pl|01784	3.4.16.4
metaerg.pl|01786	6.3.2.13
metaerg.pl|01787	6.3.2.10
metaerg.pl|01788	2.7.8.13
metaerg.pl|01790	2.6.1.1
metaerg.pl|01796	2.7.1.50
metaerg.pl|01799	2.5.1.3
metaerg.pl|01800	2.7.1.49
metaerg.pl|01800	2.7.1.49 2.7.4.7
metaerg.pl|01801	2.5.1.3
metaerg.pl|01801	2.7.1.49
metaerg.pl|01801	2.7.4.7
metaerg.pl|01801	3.5.99.2
metaerg.pl|01802	2.1.1.222
metaerg.pl|01802	2.1.1.64
metaerg.pl|01805	1.6.3.5
metaerg.pl|01809	2.7.13.3
metaerg.pl|01811	1.2.1.12
metaerg.pl|01813	2.4.1.213
metaerg.pl|01814	2.4.1.213
metaerg.pl|01818	1.15.1.1
metaerg.pl|01823	6.3.3.2
metaerg.pl|01826	1.1.1.27
metaerg.pl|01828	3.4.21.105
metaerg.pl|01832	2.7.1.2
metaerg.pl|01840	3.-.-.-
metaerg.pl|01860	2.1.2.10
metaerg.pl|01861	1.4.4.2
metaerg.pl|01862	1.4.4.2
metaerg.pl|01865	2.3.1.181
metaerg.pl|01866	1.17.4.1
metaerg.pl|01872	3.4.-.-
metaerg.pl|01877	6.3.4.14
metaerg.pl|01880	1.5.1.5
metaerg.pl|01880	3.5.4.9
metaerg.pl|01881	3.1.11.6
metaerg.pl|01882	3.1.11.6
metaerg.pl|01883	2.5.1.10
metaerg.pl|01886	2.2.1.7
metaerg.pl|01887	2.1.1.-
metaerg.pl|01894	2.3.1.19
metaerg.pl|01895	1.4.1.9
metaerg.pl|01896	2.7.2.7
metaerg.pl|01897	1.8.1.4
metaerg.pl|01898	1.2.4.4
metaerg.pl|01899	1.2.4.4
metaerg.pl|01900	2.3.1.168
metaerg.pl|01902	1.-.-.-
metaerg.pl|01907	5.4.99.2
metaerg.pl|01907	5.4.99.-
metaerg.pl|01908	5.1.99.1
metaerg.pl|01909	6.4.1.3
metaerg.pl|01912	2.7.7.7
metaerg.pl|01918	1.5.1.2
metaerg.pl|01919	1.-.-.-
metaerg.pl|01920	3.1.3.48
metaerg.pl|01922	1.3.8.2
metaerg.pl|01922	1.14.99.-
metaerg.pl|01924	1.2.99.10
metaerg.pl|01924	1.14.99.-
metaerg.pl|01925	2.5.1.32
metaerg.pl|01926	1.14.99.44
metaerg.pl|01926	1.14.99.-
metaerg.pl|01933	3.1.3.-
metaerg.pl|01935	3.6.1.27
metaerg.pl|01941	1.-.-.-
metaerg.pl|01943	3.6.1.13
metaerg.pl|01946	5.4.2.7
metaerg.pl|01947	2.4.2.1
metaerg.pl|01948	2.4.2.2
metaerg.pl|01949	4.1.1.20
metaerg.pl|01950	5.2.1.8
metaerg.pl|01951	3.5.4.26
metaerg.pl|01951	1.1.1.193
metaerg.pl|01951	3.5.4.-
metaerg.pl|01952	2.5.1.9
metaerg.pl|01953	4.1.99.12
metaerg.pl|01953	3.5.4.25
metaerg.pl|01954	2.5.1.78
metaerg.pl|01958	1.1.1.36
metaerg.pl|01964	5.4.99.22
metaerg.pl|01964	5.4.99.-
metaerg.pl|01972	2.7.13.3
metaerg.pl|01974	2.5.1.17
metaerg.pl|01977	1.1.1.95
metaerg.pl|01980	3.6.4.12
metaerg.pl|01986	4.1.99.3
metaerg.pl|01987	6.3.4.3
metaerg.pl|01991	1.4.1.2
metaerg.pl|01992	1.8.-.-
metaerg.pl|01993	3.5.1.1
metaerg.pl|01994	3.4.-.-
metaerg.pl|01996	2.7.4.25
metaerg.pl|01996	2.7.4.14
metaerg.pl|01997	2.3.1.n4
metaerg.pl|02000	2.3.1.275
metaerg.pl|02000	2.3.1.-
metaerg.pl|02002	1.1.1.94
metaerg.pl|02009	3.5.4.16
metaerg.pl|02012	2.1.1.163
metaerg.pl|02012	2.1.1.-
metaerg.pl|02013	2.5.1.-
metaerg.pl|02015	4.2.1.151
metaerg.pl|02016	2.5.1.30
metaerg.pl|02017	2.7.4.6
metaerg.pl|02019	5.4.99.18
metaerg.pl|02019	4.1.1.21
metaerg.pl|02025	4.1.1.96
metaerg.pl|02026	1.5.1.43
metaerg.pl|02033	1.17.1.8
metaerg.pl|02037	2.7.7.-
metaerg.pl|02040	3.6.1.23
metaerg.pl|02041	4.1.1.36
metaerg.pl|02041	6.3.2.5
metaerg.pl|02041	4.1.1.36 6.3.2.5
metaerg.pl|02050	2.7.7.9
metaerg.pl|02051	3.1.3.7
metaerg.pl|02062	3.4.11.18
metaerg.pl|02074	2.4.-.-
metaerg.pl|02084	2.4.1.180
metaerg.pl|02084	2.4.1.-
metaerg.pl|02089	1.-.-.-
metaerg.pl|02090	2.7.8.7
metaerg.pl|02092	2.7.7.7
metaerg.pl|02093	2.7.1.24
metaerg.pl|02094	1.1.1.25
metaerg.pl|02095	3.6.4.-
metaerg.pl|02096	3.6.-.-
metaerg.pl|02098	2.1.1.170
metaerg.pl|02099	3.6.-.-
metaerg.pl|02101	1.3.99.22
metaerg.pl|02102	3.6.1.66
metaerg.pl|02102	3.6.1.-
metaerg.pl|02103	2.7.7.56
metaerg.pl|02107	1.1.1.40
metaerg.pl|02108	1.8.4.11
metaerg.pl|02110	6.3.4.5
metaerg.pl|02115	1.1.1.1
metaerg.pl|02116	1.2.1.16
metaerg.pl|02117	6.3.1.2
metaerg.pl|02126	3.6.3.14
metaerg.pl|02135	2.1.2.9
metaerg.pl|02138	3.5.1.88
metaerg.pl|02139	3.5.1.88
metaerg.pl|02141	4.4.1.13
metaerg.pl|02141	4.4.-.-
metaerg.pl|02143	2.1.2.3
metaerg.pl|02143	3.5.4.10
metaerg.pl|02143	2.1.2.3 3.5.4.10
metaerg.pl|02144	3.4.23.36
metaerg.pl|02149	3.4.24.-
metaerg.pl|02162	1.1.1.94
metaerg.pl|02164	6.3.4.21
metaerg.pl|02167	3.6.1.-
metaerg.pl|02169	2.7.7.8
metaerg.pl|02178	1.3.1.84
metaerg.pl|02181	1.13.11.4
metaerg.pl|02182	3.7.1.20
metaerg.pl|02183	1.14.13.24
metaerg.pl|02189	1.1.5.-
metaerg.pl|02191	1.3.5.1
metaerg.pl|02194	1.3.5.1
metaerg.pl|02199	4.2.1.148
metaerg.pl|02203	3.1.2.30
metaerg.pl|02206	1.1.1.37
metaerg.pl|02207	2.1.1.192
metaerg.pl|02214	3.4.21.89
metaerg.pl|02219	6.3.2.1
metaerg.pl|02220	2.1.2.11
metaerg.pl|02222	4.2.1.20
metaerg.pl|02225	4.2.1.20
metaerg.pl|02226	5.3.1.24
metaerg.pl|02227	4.1.1.48
metaerg.pl|02228	3.4.21.88
metaerg.pl|02230	2.4.2.18
metaerg.pl|02231	5.4.99.12
metaerg.pl|02232	2.2.1.2
metaerg.pl|02232	4.1.2.-
metaerg.pl|02233	3.4.21.107
metaerg.pl|02235	4.3.2.2
metaerg.pl|02236	6.3.2.6
metaerg.pl|02237	2.7.8.8
metaerg.pl|02239	6.3.5.3
metaerg.pl|02240	6.3.5.3
metaerg.pl|02241	6.3.5.3
metaerg.pl|02242	2.4.2.14
metaerg.pl|02243	3.5.4.4
metaerg.pl|02247	3.1.3.11
metaerg.pl|02252	2.8.4.3
metaerg.pl|02252	2.1.1.- 2.8.1.-
metaerg.pl|02260	2.1.1.72
metaerg.pl|02279	2.8.4.5
metaerg.pl|02279	2.1.1.- 2.8.1.-
metaerg.pl|02285	3.5.4.5
metaerg.pl|02286	5.1.1.1
metaerg.pl|02287	3.6.1.8
metaerg.pl|02289	1.1.1.95
metaerg.pl|02291	6.1.1.22
metaerg.pl|02292	3.6.4.12
metaerg.pl|02302	6.3.2.8
metaerg.pl|02304	2.4.1.227
metaerg.pl|02307	6.3.2.9
metaerg.pl|02308	2.7.8.13
metaerg.pl|02310	6.3.2.10
metaerg.pl|02311	6.3.2.13
metaerg.pl|02316	2.1.1.199
metaerg.pl|02321	1.4.3.19
metaerg.pl|02321	2.8.1.10
metaerg.pl|02325	3.1.4.46
metaerg.pl|02326	7.6.2.11
metaerg.pl|02342	5.4.99.-
metaerg.pl|02343	6.1.1.5
metaerg.pl|02354	2.7.7.85
metaerg.pl|02356	3.4.24.-
metaerg.pl|02358	2.4.2.8
metaerg.pl|02359	6.3.4.19
metaerg.pl|02359	6.3.4.-
metaerg.pl|02370	3.1.-.-
metaerg.pl|02372	2.8.1.12
metaerg.pl|02373	1.1.1.169
metaerg.pl|02373	1.1.1.-
metaerg.pl|02378	2.7.7.7
metaerg.pl|02379	2.4.1.336
metaerg.pl|02389	2.5.1.18
metaerg.pl|02393	2.7.1.47
metaerg.pl|02395	6.1.1.9
metaerg.pl|02400	2.7.7.53
metaerg.pl|02406	1.7.1.17
metaerg.pl|02410	2.7.1.63
metaerg.pl|02412	3.1.-.-
metaerg.pl|02414	2.1.2.3
metaerg.pl|02414	3.5.4.10
metaerg.pl|02414	2.1.2.3 3.5.4.10
metaerg.pl|02420	7.2.2.8
metaerg.pl|02420	3.6.3.-
metaerg.pl|02423	3.5.1.88
metaerg.pl|02428	2.7.7.7
