#accession	id	type	count	count_pct	abundance	abundance_pct	depth_M1	depth_pct_M1	depth_M2	depth_pct_M2	depth_M3	depth_pct_M3	depth_M4	depth_pct_M4	plevel_pct_P1	plevel_pct_P2	plevel_pct_P3	plevel_pct_P4	desc
PF00120.24	Gln-synt_C	Domain	1	0.02	6720.30	0.02	1583.07	0.02	2109.94	0.02	1013.17	0.02	2014.12	0.02	0.00	0.01	0.00	0.01	Glutamine synthetase, catalytic domain
PF00121.18	TIM	Domain	1	0.02	6522.55	0.02	1540.00	0.02	2004.09	0.02	1039.73	0.02	1938.73	0.02	0	0	0	0	Triosephosphate isomerase
PF00122.20	E1-E2_ATPase	Family	5	0.11	32275.11	0.12	7597.87	0.11	9915.00	0.12	5197.25	0.11	9564.99	0.12	0	0	0	0	E1-E2 ATPase
PF00124.19	Photo_RC	Family	5	0.11	36501.29	0.13	8638.47	0.13	10845.74	0.13	6311.99	0.14	10705.09	0.13	0.14	0.14	0.28	0.23	Photosynthetic reaction centre protein
PF00126.27	HTH_1	Domain	3	0.07	18930.12	0.07	4462.60	0.07	5746.16	0.07	3121.22	0.07	5600.15	0.07	0.00	0.00	0	0	Bacterial regulatory helix-turn-helix protein, lysR family
PF00127.20	Copper-bind	Domain	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0	0	0	0	Copper binding proteins, plastocyanin/azurin family
PF00128.24	Alpha-amylase	Domain	10	0.23	65196.38	0.23	15350.01	0.23	19969.10	0.23	10677.17	0.23	19200.08	0.23	0.01	0.01	0.00	0.01	Alpha amylase, catalytic domain
PF00132.24	IspD	Family	12	0.28	77485.74	0.28	18353.50	0.28	23503.53	0.28	12950.40	0.28	22678.32	0.28	0.00	0.02	0.01	0.01	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PF00133.22	tRNA-synt_1	Family	4	0.09	25631.62	0.09	6058.31	0.09	7813.15	0.09	4202.75	0.09	7557.40	0.09	0.01	0.01	0	0.01	tRNA synthetases class I (I, L, M and V)
PF00137.21	ATP-synt_C	Family	1	0.02	6266.63	0.02	1469.58	0.02	1968.57	0.02	957.48	0.02	1871.00	0.02	0.00	0.00	0.00	0.00	ATP synthase subunit C
PF00140.20	Sigma70_r1_2	Family	5	0.11	33023.61	0.12	7835.55	0.12	9936.14	0.12	5536.99	0.12	9714.92	0.12	0.02	0.04	0.03	0.03	Sigma-70 factor, region 1.2
PF00145.17	DNA_methylase	Domain	7	0.16	45582.55	0.16	10783.89	0.16	13803.56	0.16	7576.72	0.16	13418.38	0.16	0.03	0.04	0.04	0.02	C-5 cytosine-specific DNA methylase
PF00146.21	NADHdh	Family	1	0.02	6504.12	0.02	1547.71	0.02	1974.40	0.02	1101.32	0.02	1880.69	0.02	0	0	0	0	NADH dehydrogenase
PF00148.19	Oxidored_nitro	Domain	6	0.14	39031.54	0.14	9210.98	0.14	12192.73	0.14	6155.86	0.13	11471.96	0.14	0.00	0.00	0.00	0.00	Nitrogenase component 1 type Oxidoreductase
PF00149.28	Metallophos	Domain	6	0.14	39467.25	0.14	9348.73	0.14	11771.72	0.14	6831.66	0.15	11515.14	0.14	0.18	0.11	0.23	0.15	Calcineurin-like phosphoesterase
PF00152.20	tRNA-synt_2	Domain	1	0.02	6474.57	0.02	1532.49	0.02	1998.36	0.02	1042.57	0.02	1901.16	0.02	0	0	0	0	tRNA synthetases class II (D, K and N) 
PF00155.21	Aminotran_1_2	Domain	21	0.48	137952.11	0.49	32608.61	0.49	41958.58	0.49	22757.93	0.49	40627.04	0.49	0.12	0.14	0.12	0.13	Aminotransferase class I and II
PF00156.27	Pribosyltran	Domain	7	0.16	45401.28	0.16	10693.85	0.16	13822.22	0.16	7457.05	0.16	13428.14	0.16	0.01	0.01	0.01	0.01	Phosphoribosyl transferase domain
PF00160.21	Pro_isomerase	Domain	3	0.07	19430.95	0.07	4615.21	0.07	5692.35	0.07	3419.26	0.07	5704.14	0.07	0.01	0.01	0.00	0.00	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00162.19	PGK	Domain	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0	0	0	0	Phosphoglycerate kinase
PF00163.19	Ribosomal_S4	Family	1	0.02	6744.42	0.02	1611.19	0.02	1950.91	0.02	1224.82	0.03	1957.50	0.02	0	0	0	0	Ribosomal protein S4/S9 N-terminal domain
PF00164.25	Ribosom_S12_S23	Family	1	0.02	6868.99	0.02	1640.70	0.02	2061.22	0.02	1150.09	0.02	2016.97	0.02	0.00	0.01	0.00	0.01	Ribosomal protein S12/S23
PF00166.21	Cpn10	Domain	1	0.02	6770.44	0.02	1616.50	0.02	2047.11	0.02	1118.28	0.02	1988.54	0.02	0	0	0	0	Chaperonin 10 Kd subunit
PF00171.22	Aldedh	Family	7	0.16	38475.46	0.14	9087.50	0.14	11893.96	0.14	6123.00	0.13	11371.00	0.14	0	0.01	0	0.01	Aldehyde dehydrogenase family
PF00174.19	Oxidored_molyb	Domain	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0	0	0	0	Oxidoreductase molybdopterin binding domain
PF00175.21	NAD_binding_1	Domain	2	0.05	13422.04	0.05	3184.72	0.05	4043.38	0.05	2249.84	0.05	3944.09	0.05	0.02	0.02	0.02	0.02	Oxidoreductase NAD-binding domain
PF00176.23	SNF2_N	Family	1	0.02	6927.58	0.02	1665.36	0.03	1961.92	0.02	1368.85	0.03	1931.45	0.02	0.00	0.01	0	0.00	SNF2 family N-terminal domain
PF00177.21	Ribosomal_S7	Domain	1	0.02	6868.99	0.02	1640.70	0.02	2061.22	0.02	1150.09	0.02	2016.97	0.02	0	0	0	0	Ribosomal protein S7p/S5e
PF00180.20	Iso_dh	Domain	2	0.05	13100.09	0.05	3082.15	0.05	4068.72	0.05	2053.38	0.04	3895.84	0.05	0.02	0.04	0.05	0.02	Isocitrate/isopropylmalate dehydrogenase
PF00181.23	Ribosomal_L2	Domain	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0.00	0.00	0.00	0.00	Ribosomal Proteins L2, RNA binding domain
PF00182.19	Glyco_hydro_19	Domain	1	0.02	6528.49	0.02	1535.89	0.02	1999.65	0.02	1072.38	0.02	1920.57	0.02	0.04	0.05	0.05	0.04	Chitinase class I
PF00183.18	HSP90	Family	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0	0	0	0	Hsp90 protein
PF00185.24	OTCace	Domain	2	0.05	12762.64	0.05	3004.11	0.05	3908.28	0.05	2049.47	0.04	3800.78	0.05	0.42	0.38	0.42	0.38	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00188.26	CAP	Domain	2	0.05	12996.63	0.05	3056.89	0.05	3981.16	0.05	2126.20	0.05	3832.37	0.05	0	0.01	0.00	0.00	Cysteine-rich secretory protein family
PF00189.20	Ribosomal_S3_C	Domain	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0	0	0	0.00	Ribosomal protein S3, C-terminal domain
PF00196.19	GerE	Domain	5	0.11	31621.69	0.11	7434.57	0.11	9679.51	0.11	5148.68	0.11	9358.94	0.11	0.00	0.00	0.00	0.00	Bacterial regulatory proteins, luxR family
PF00198.23	2-oxoacid_dh	Domain	1	0.02	6439.52	0.02	1522.42	0.02	1897.64	0.02	1108.08	0.02	1911.37	0.02	0	0	0	0	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00202.21	Aminotran_3	Domain	1	0.02	6473.07	0.02	1528.08	0.02	1942.78	0.02	1103.81	0.02	1898.40	0.02	0	0	0	0	Aminotransferase class-III
PF00203.21	Ribosomal_S19	Domain	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0	0	0	0	Ribosomal protein S19
PF00204.25	DNA_gyraseB	Domain	1	0.02	6616.09	0.02	1552.70	0.02	2033.61	0.02	1084.75	0.02	1945.02	0.02	0	0	0	0	DNA gyrase B
PF00205.22	TPP_enzyme_M	Domain	2	0.05	13074.85	0.05	3091.43	0.05	4085.84	0.05	2024.48	0.04	3873.10	0.05	0	0.00	0	0.00	Thiamine pyrophosphate enzyme, central domain
PF00206.20	Lyase_1	Domain	3	0.07	19299.77	0.07	4558.39	0.07	5787.18	0.07	3313.05	0.07	5641.13	0.07	0.18	0.18	0.19	0.18	Lyase
PF00208.21	ELFV_dehydrog	Domain	2	0.05	12925.18	0.05	3052.13	0.05	3907.18	0.05	2168.57	0.05	3797.31	0.05	0.00	0.00	0.00	0.00	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00210.24	Ferritin	Domain	2	0.05	12583.12	0.04	2957.54	0.04	3832.77	0.04	2094.18	0.05	3698.63	0.04	0.02	0.01	0.02	0.01	Ferritin-like domain
PF00211.20	Guanylate_cyc	Domain	18	0.41	104575.24	0.37	24662.16	0.37	32003.80	0.37	17098.64	0.37	30810.63	0.37	0.13	0.17	0.21	0.17	Adenylate and Guanylate cyclase catalytic domain
PF00213.18	OSCP	Family	1	0.02	6266.63	0.02	1469.58	0.02	1968.57	0.02	957.48	0.02	1871.00	0.02	0	0	0	0	ATP synthase delta (OSCP) subunit
PF00215.24	OMPdecase	Domain	2	0.05	12818.47	0.05	3016.47	0.05	3868.39	0.05	2191.61	0.05	3741.99	0.05	0.02	0.02	0.03	0.02	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00216.21	Bac_DNA_binding	Domain	1	0.02	6616.09	0.02	1552.70	0.02	2033.61	0.02	1084.75	0.02	1945.02	0.02	0.68	0.39	0.46	0.45	Bacterial DNA-binding protein
PF00218.21	IGPS	Domain	1	0.02	6417.10	0.02	1515.29	0.02	1934.10	0.02	1086.18	0.02	1881.53	0.02	0	0	0	0	Indole-3-glycerol phosphate synthase
PF00223.19	PsaA_PsaB	Family	2	0.05	13488.84	0.05	3222.38	0.05	3901.82	0.05	2449.64	0.05	3915.00	0.05	0.01	0.02	0.01	0.01	Photosystem I psaA/psaB protein
PF00224.21	PK	Family	1	0.02	6688.88	0.02	1580.85	0.02	2053.26	0.02	1101.21	0.02	1953.55	0.02	0	0	0	0	Pyruvate kinase, barrel domain
PF00226.31	DnaJ	Domain	9	0.21	59091.21	0.21	13939.09	0.21	17962.18	0.21	9786.16	0.21	17403.80	0.21	0.02	0.02	0.01	0.02	DnaJ domain
PF00227.26	Proteasome	Domain	1	0.02	6381.14	0.02	1505.11	0.02	1934.35	0.02	1051.18	0.02	1890.51	0.02	0	0	0	0	Proteasome subunit
PF00231.19	ATP-synt	Domain	1	0.02	6266.63	0.02	1469.58	0.02	1968.57	0.02	957.48	0.02	1871.00	0.02	0	0	0	0	ATP synthase
PF00237.19	Ribosomal_L22	Domain	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0.00	0	0.00	0.00	Ribosomal protein L22p/L17e
PF00238.19	Ribosomal_L14	Domain	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0	0	0	0	Ribosomal protein L14p/L23e
PF00239.21	Resolvase	Domain	1	0.02	6452.11	0.02	1524.05	0.02	1964.40	0.02	1064.76	0.02	1898.91	0.02	0	0	0	0	Resolvase, N terminal domain
PF00248.21	Aldo_ket_red	Domain	6	0.14	40759.78	0.15	9721.56	0.15	12323.60	0.14	6945.69	0.15	11768.94	0.14	0.01	0.01	0.00	0.02	Aldo/keto reductase family
PF00252.18	Ribosomal_L16	Family	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0	0	0	0	Ribosomal protein L16p/L10e
PF00253.21	Ribosomal_S14	Family	1	0.02	6461.88	0.02	1533.66	0.02	1979.89	0.02	1031.40	0.02	1916.93	0.02	0	0	0	0	Ribosomal protein S14p/S29e
PF00254.28	FKBP_C	Domain	2	0.05	13323.80	0.05	3159.14	0.05	3975.32	0.05	2309.26	0.05	3880.08	0.05	0	0	0	0	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00258.25	Flavodoxin_1	Domain	1	0.02	7174.70	0.03	1679.91	0.03	2196.68	0.03	1198.03	0.03	2100.08	0.03	0.00	0.01	0.01	0.01	Flavodoxin
PF00263.21	Secretin	Family	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0	0	0	0	Bacterial type II and III secretion system protein
PF00266.19	Aminotran_5	Domain	3	0.07	19371.47	0.07	4584.17	0.07	5931.14	0.07	3167.31	0.07	5688.86	0.07	0.02	0.02	0.02	0.02	Aminotransferase class-V
PF00268.21	Ribonuc_red_sm	Domain	2	0.05	13205.04	0.05	3102.68	0.05	4085.74	0.05	2107.86	0.05	3908.76	0.05	0	0	0	0	Ribonucleotide reductase, small chain
PF00270.29	DEAD	Domain	11	0.25	70132.79	0.25	16531.18	0.25	21656.80	0.25	11187.02	0.24	20757.80	0.25	0.08	0.08	0.09	0.05	DEAD/DEAH box helicase
PF00271.31	Helicase_C	Family	16	0.37	103766.37	0.37	24509.45	0.37	31757.11	0.37	17003.86	0.37	30495.95	0.37	0.12	0.15	0.13	0.06	Helicase conserved C-terminal domain
PF00275.20	EPSP_synthase	Family	2	0.05	13153.60	0.05	3130.31	0.05	3887.07	0.05	2352.37	0.05	3783.86	0.05	0	0	0	0	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00276.20	Ribosomal_L23	Family	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0	0	0	0	Ribosomal protein L23
PF00278.22	Orn_DAP_Arg_deC	Domain	1	0.02	6699.09	0.02	1588.53	0.02	1983.47	0.02	1181.26	0.03	1945.83	0.02	0	0	0	0	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00281.19	Ribosomal_L5	Domain	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0	0	0	0	Ribosomal protein L5
PF00283.19	Cytochrom_B559	Family	1	0.02	6381.14	0.02	1505.11	0.02	1934.35	0.02	1051.18	0.02	1890.51	0.02	0	0	0	0	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits
PF00284.20	Cytochrom_B559a	Family	1	0.02	6381.14	0.02	1505.11	0.02	1934.35	0.02	1051.18	0.02	1890.51	0.02	0	0	0	0	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit
PF00285.21	Citrate_synt	Domain	1	0.02	6528.49	0.02	1535.89	0.02	1999.65	0.02	1072.38	0.02	1920.57	0.02	0.01	0.02	0.01	0.02	Citrate synthase, C-terminal domain
PF00288.26	GHMP_kinases_N	Family	2	0.05	13142.57	0.05	3094.73	0.05	3974.57	0.05	2216.50	0.05	3856.78	0.05	0	0	0	0	GHMP kinases N terminal domain
PF00289.22	Biotin_carb_N	Domain	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0	0	0	0	Biotin carboxylase, N-terminal domain
PF00290.20	Trp_syntA	Domain	1	0.02	7613.88	0.03	1798.05	0.03	2343.22	0.03	1242.78	0.03	2229.84	0.03	0	0	0	0	Tryptophan synthase alpha chain
PF00291.25	PALP	Family	8	0.18	43425.01	0.16	10249.39	0.16	13154.20	0.15	7061.72	0.15	12959.71	0.16	0	0	0	0	Pyridoxal-phosphate dependent enzyme
PF00293.28	NUDIX	Domain	8	0.18	51781.10	0.18	12213.88	0.18	15873.96	0.19	8404.24	0.18	15288.99	0.19	0.15	0.11	0.18	0.12	NUDIX domain
PF00294.24	PfkB	Family	4	0.09	25970.30	0.09	6117.52	0.09	7898.86	0.09	4312.94	0.09	7641.01	0.09	0.02	0.01	0.02	0.02	pfkB family carbohydrate kinase
PF00297.22	Ribosomal_L3	Family	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0	0	0	0	Ribosomal protein L3
PF00298.19	Ribosomal_L11	Domain	1	0.02	6998.30	0.02	1655.34	0.03	2103.77	0.02	1209.87	0.03	2029.32	0.02	0	0	0	0	Ribosomal protein L11, RNA binding domain
PF00300.22	His_Phos_1	Domain	3	0.07	19568.58	0.07	4620.65	0.07	5982.28	0.07	3256.26	0.07	5709.38	0.07	0.01	0.01	0.01	0.00	Histidine phosphatase superfamily (branch 1)
PF00301.20	Rubredoxin	Domain	1	0.02	6381.14	0.02	1505.11	0.02	1934.35	0.02	1051.18	0.02	1890.51	0.02	0	0	0	0	Rubredoxin
PF00303.19	Thymidylat_synt	Domain	1	0.02	6528.49	0.02	1535.89	0.02	1999.65	0.02	1072.38	0.02	1920.57	0.02	0	0	0	0	Thymidylate synthase
PF00306.27	ATP-synt_ab_C	Domain	1	0.02	6266.63	0.02	1469.58	0.02	1968.57	0.02	957.48	0.02	1871.00	0.02	0	0	0	0	ATP synthase alpha/beta chain, C terminal domain
PF00308.18	Bac_DnaA	Domain	1	0.02	6142.66	0.02	1451.93	0.02	1823.46	0.02	1110.63	0.02	1756.64	0.02	0	0	0	0	Bacterial dnaA  protein
PF00310.21	GATase_2	Domain	2	0.05	12783.32	0.05	3024.83	0.05	3963.54	0.05	1990.35	0.04	3804.61	0.05	0.00	0	0.01	0.01	Glutamine amidotransferases class-II
PF00311.17	PEPcase	Family	1	0.02	6487.32	0.02	1519.45	0.02	2062.19	0.02	979.76	0.02	1925.93	0.02	0.01	0.01	0.01	0.02	Phosphoenolpyruvate carboxylase
PF00312.22	Ribosomal_S15	Domain	1	0.02	6175.40	0.02	1451.91	0.02	1747.89	0.02	1222.76	0.03	1752.83	0.02	0.00	0.00	0.00	0.00	Ribosomal protein S15
PF00313.22	CSD	Domain	1	0.02	6501.48	0.02	1530.61	0.02	1989.55	0.02	1039.57	0.02	1941.74	0.02	0	0	0	0	'Cold-shock' DNA-binding domain
PF00316.20	FBPase	Domain	1	0.02	6255.38	0.02	1465.78	0.02	1978.07	0.02	940.20	0.02	1871.33	0.02	0	0	0	0	Fructose-1-6-bisphosphatase, N-terminal domain
PF00317.21	Ribonuc_red_lgN	Domain	1	0.02	6602.52	0.02	1551.34	0.02	2042.87	0.02	1053.93	0.02	1954.38	0.02	0.00	0	0	0	Ribonucleotide reductase, all-alpha domain
PF00318.20	Ribosomal_S2	Family	1	0.02	6562.68	0.02	1548.76	0.02	2089.93	0.02	969.20	0.02	1954.80	0.02	0	0	0	0	Ribosomal protein S2
PF00324.21	AA_permease	Family	2	0.05	13154.46	0.05	3120.78	0.05	4005.61	0.05	2158.75	0.05	3869.32	0.05	0.00	0.00	0	0.00	Amino acid permease
PF00325.20	Crp	Domain	6	0.14	34066.68	0.12	8121.31	0.12	10067.45	0.12	6078.85	0.13	9799.08	0.12	0.00	0.00	0.00	0.00	Bacterial regulatory proteins, crp family
