#kegg_pathway_id	kegg_pathway_name	total_family_in_pathway	total_family_found_in_pathway	ko	ko_name	gene_num
00410	beta-Alanine metabolism	24	15	K01692	E4.2.1.17, paaG	36
00410	beta-Alanine metabolism	24	15	K01918	E6.3.2.1, panC	4
00410	beta-Alanine metabolism	24	15	K05605	E3.1.2.4	1
00410	beta-Alanine metabolism	24	15	K07511	ECHS1	16
00410	beta-Alanine metabolism	24	15	K07514	EHHADH1	35
00410	beta-Alanine metabolism	24	15	K07515	HADHA1	35
00625	Tetrachloroethene degradation	7	4	K00100	E1.1.1.-	2
00625	Tetrachloroethene degradation	7	4	K02586	nifD	2
00625	Tetrachloroethene degradation	7	4	K02588	nifH	1
00625	Tetrachloroethene degradation	7	4	K02591	nifK	4
02020	Two-component system - General	239	121	K00066	algD	3
02020	Two-component system - General	239	121	K00244	frdA	7
02020	Two-component system - General	239	121	K00245	frdB	21
02020	Two-component system - General	239	121	K00246	frdC	11
02020	Two-component system - General	239	121	K00370	narG	4
02020	Two-component system - General	239	121	K00371	narH	5
02020	Two-component system - General	239	121	K00626	E2.3.1.9, atoB	20
02020	Two-component system - General	239	121	K00689	E2.4.1.5	7
02020	Two-component system - General	239	121	K00766	E2.4.2.18, trpD	11
02020	Two-component system - General	239	121	K01034	atoD	1
02020	Two-component system - General	239	121	K01035	atoA	1
02020	Two-component system - General	239	121	K01609	E4.1.1.48, trpC	5
02020	Two-component system - General	239	121	K01657	E4.1.3.27A, trpE	19
02020	Two-component system - General	239	121	K01695	E4.2.1.20A, trpA	9
02020	Two-component system - General	239	121	K01696	E4.2.1.20B, trpB	9
02020	Two-component system - General	239	121	K01915	E6.3.1.2, glnA	7
02020	Two-component system - General	239	121	K02040	pstS	10
02020	Two-component system - General	239	121	K02106	atoE	1
02020	Two-component system - General	239	121	K02259	COX15	1
02020	Two-component system - General	239	121	K02488	pleD	2
02020	Two-component system - General	239	121	K02491	kinA	136
02020	Two-component system - General	239	121	K02556	motA	2
02020	Two-component system - General	239	121	K02657	pilG	1
02020	Two-component system - General	239	121	K02658	pilH	3
02020	Two-component system - General	239	121	K02659	pilI	1
02020	Two-component system - General	239	121	K02660	pilJ	1
02020	Two-component system - General	239	121	K02667	pilR	1
02020	Two-component system - General	239	121	K02668	pilS	195
02020	Two-component system - General	239	121	K03407	cheA	221
02020	Two-component system - General	239	121	K04771	degP, htrA	5
02020	Two-component system - General	239	121	K07636	phoR	211
02020	Two-component system - General	239	121	K07637	phoQ	130
02020	Two-component system - General	239	121	K07638	envZ	116
02020	Two-component system - General	239	121	K07639	rstB	175
02020	Two-component system - General	239	121	K07640	cpxA	102
02020	Two-component system - General	239	121	K07641	creC	206
02020	Two-component system - General	239	121	K07642	baeS	203
02020	Two-component system - General	239	121	K07643	basS	86
02020	Two-component system - General	239	121	K07644	cusS, copS	178
02020	Two-component system - General	239	121	K07645	qseC	142
02020	Two-component system - General	239	121	K07646	kdpD	204
02020	Two-component system - General	239	121	K07647	torS	181
02020	Two-component system - General	239	121	K07648	arcB	175
02020	Two-component system - General	239	121	K07649	tctE	85
02020	Two-component system - General	239	121	K07650	cssS	95
02020	Two-component system - General	239	121	K07651	resE	173
02020	Two-component system - General	239	121	K07652	vicK	178
02020	Two-component system - General	239	121	K07653	mprB	204
02020	Two-component system - General	239	121	K07654	mtrB	205
02020	Two-component system - General	239	121	K07655	prrB	11
02020	Two-component system - General	239	121	K07656	trcS	89
02020	Two-component system - General	239	121	K07657	phoB	5
02020	Two-component system - General	239	121	K07658	phoB1, phoP	1
02020	Two-component system - General	239	121	K07659	ompR	4
02020	Two-component system - General	239	121	K07660	phoP	1
02020	Two-component system - General	239	121	K07666	qseB	2
02020	Two-component system - General	239	121	K07668	vicR	1
02020	Two-component system - General	239	121	K07669	mprA	3
02020	Two-component system - General	239	121	K07670	mtrA	1
02020	Two-component system - General	239	121	K07673	narX	208
02020	Two-component system - General	239	121	K07674	narQ	95
02020	Two-component system - General	239	121	K07675	uhpB	211
02020	Two-component system - General	239	121	K07676	rcsD	179
02020	Two-component system - General	239	121	K07677	rcsC	180
02020	Two-component system - General	239	121	K07678	barA	173
02020	Two-component system - General	239	121	K07679	evgS, bvgS	158
02020	Two-component system - General	239	121	K07680	comP	58
02020	Two-component system - General	239	121	K07681	vraS	1
02020	Two-component system - General	239	121	K07682	devS	197
02020	Two-component system - General	239	121	K07683	nreB	79
02020	Two-component system - General	239	121	K07684	narL	2
02020	Two-component system - General	239	121	K07689	uvrY	1
02020	Two-component system - General	239	121	K07690	evgA, bvgA	1
02020	Two-component system - General	239	121	K07692	degU	3
02020	Two-component system - General	239	121	K07694	vraR	2
02020	Two-component system - General	239	121	K07695	devR	1
02020	Two-component system - General	239	121	K07696	nreC	1
02020	Two-component system - General	239	121	K07697	kinB	77
02020	Two-component system - General	239	121	K07698	kinC	78
02020	Two-component system - General	239	121	K07699	spo0A	1
02020	Two-component system - General	239	121	K07701	dcuS	18
02020	Two-component system - General	239	121	K07704	lytS	170
02020	Two-component system - General	239	121	K07705	lytT, lytR	2
02020	Two-component system - General	239	121	K07708	glnL, ntrB	170
02020	Two-component system - General	239	121	K07709	hydH, zraS	160
02020	Two-component system - General	239	121	K07710	atoS	186
02020	Two-component system - General	239	121	K07711	yfhK	155
02020	Two-component system - General	239	121	K07712	glnG, ntrC	2
02020	Two-component system - General	239	121	K07714	atoC	2
02020	Two-component system - General	239	121	K07716	pleC	176
02020	Two-component system - General	239	121	K07717	ycbA	150
02020	Two-component system - General	239	121	K07718	yesM	146
02020	Two-component system - General	239	121	K07768	senX3	170
02020	Two-component system - General	239	121	K07769	nblS	132
02020	Two-component system - General	239	121	K07771	basR	1
02020	Two-component system - General	239	121	K07773	arcA	1
02020	Two-component system - General	239	121	K07775	resD	3
02020	Two-component system - General	239	121	K07776	regX3	1
02020	Two-component system - General	239	121	K07777	degS	82
02020	Two-component system - General	239	121	K07778	desK	203
02020	Two-component system - General	239	121	K07787	cusA	1
02020	Two-component system - General	239	121	K07788	mdtB	2
02020	Two-component system - General	239	121	K07789	mdtC	2
02020	Two-component system - General	239	121	K07799	mdtA	3
02020	Two-component system - General	239	121	K08082	algZ	4
02020	Two-component system - General	239	121	K08083	algR	1
02020	Two-component system - General	239	121	K08348	E1.2.1.2NA, fdnG	7
02020	Two-component system - General	239	121	K08349	E1.2.1.2NB, fdnH	15
02020	Two-component system - General	239	121	K08350	E1.2.1.2NG, fdnI	1
02020	Two-component system - General	239	121	K08475	pgtB	155
02020	Two-component system - General	239	121	K08479	sasA	171
02020	Two-component system - General	239	121	K10125	dctB	172
02020	Two-component system - General	239	121	K10126	dctD	1
02020	Two-component system - General	239	121	K10255	FAD6, desA	2
02020	Two-component system - General	239	121	K10681	saeS	176
02020	Two-component system - General	239	121	K11328	nrsS, rppB	72
02020	Two-component system - General	239	121	K11331	nrsC	1
02020	Two-component system - General	239	121	K11354	cph1	143
02020	Two-component system - General	239	121	K11356	cikA	148
02020	Two-component system - General	239	121	K11357	divJ	176
02020	Two-component system - General	239	121	K11383	kinB1, kinB	158
00900	Terpenoid biosynthesis	8	3	K00795	E2.5.1.10, ispA	2
00900	Terpenoid biosynthesis	8	3	K00806	E2.5.1.31, uppS	3
00900	Terpenoid biosynthesis	8	3	K01823	E5.3.3.2, idi	2
00670	One carbon pool by folate	21	17	K00288	E1.5.1.5, folD	5
00670	One carbon pool by folate	21	17	K00297	E1.5.1.20, metF	1
00670	One carbon pool by folate	21	17	K00548	E2.1.1.13, metH	9
00670	One carbon pool by folate	21	17	K00560	E2.1.1.45, thyA	3
00670	One carbon pool by folate	21	17	K00600	E2.1.2.1, glyA	2
00670	One carbon pool by folate	21	17	K00601	E2.1.2.2	3
00670	One carbon pool by folate	21	17	K00602	E2.1.2.3, purH	3
00670	One carbon pool by folate	21	17	K00603	E2.1.2.5	1
00670	One carbon pool by folate	21	17	K00604	E2.1.2.9, fmt	6
00670	One carbon pool by folate	21	17	K00605	E2.1.2.10, gcvT	8
00670	One carbon pool by folate	21	17	K01491	E3.5.4.9, folD	5
00670	One carbon pool by folate	21	17	K01746	E4.3.1.4	1
00670	One carbon pool by folate	21	17	K01934	E6.3.3.2	1
00670	One carbon pool by folate	21	17	K01938	E6.3.4.3, fhs	5
00670	One carbon pool by folate	21	17	K03465	E2.1.1.148, thyX, thy1	3
00670	One carbon pool by folate	21	17	K08289	PURT	15
00670	One carbon pool by folate	21	17	K11175	PURN	13
00500	Starch and sucrose metabolism	67	39	K00012	E1.1.1.22, ugd	14
00500	Starch and sucrose metabolism	67	39	K00688	E2.4.1.1, glgP, PYG	4
00500	Starch and sucrose metabolism	67	39	K00689	E2.4.1.5	7
00500	Starch and sucrose metabolism	67	39	K00690	E2.4.1.7	1
00500	Starch and sucrose metabolism	67	39	K00691	E2.4.1.8, mapA	4
00500	Starch and sucrose metabolism	67	39	K00694	E2.4.1.12	14
00500	Starch and sucrose metabolism	67	39	K00695	E2.4.1.13	2
00500	Starch and sucrose metabolism	67	39	K00697	E2.4.1.15, otsA	4
00500	Starch and sucrose metabolism	67	39	K00700	E2.4.1.18, glgB	13
00500	Starch and sucrose metabolism	67	39	K00702	E2.4.1.20	1
00500	Starch and sucrose metabolism	67	39	K00703	E2.4.1.21, glgA	16
00500	Starch and sucrose metabolism	67	39	K00705	E2.4.1.25, malQ	3
00500	Starch and sucrose metabolism	67	39	K00845	glk	9
00500	Starch and sucrose metabolism	67	39	K00847	E2.7.1.4, scrK	3
00500	Starch and sucrose metabolism	67	39	K00963	E2.7.7.9, galU	8
00500	Starch and sucrose metabolism	67	39	K00975	E2.7.7.27, glgC	13
00500	Starch and sucrose metabolism	67	39	K01087	E3.1.3.12, otsB	4
00500	Starch and sucrose metabolism	67	39	K01176	E3.2.1.1, amyA, malS	13
00500	Starch and sucrose metabolism	67	39	K01178	E3.2.1.3	6
00500	Starch and sucrose metabolism	67	39	K01179	E3.2.1.4	23
00500	Starch and sucrose metabolism	67	39	K01182	E3.2.1.10	7
00500	Starch and sucrose metabolism	67	39	K01187	E3.2.1.20, malZ	5
00500	Starch and sucrose metabolism	67	39	K01188	E3.2.1.21	3
00500	Starch and sucrose metabolism	67	39	K01193	E3.2.1.26, sacA	2
00500	Starch and sucrose metabolism	67	39	K01194	E3.2.1.28, treA	7
00500	Starch and sucrose metabolism	67	39	K01198	E3.2.1.37, xynB	1
00500	Starch and sucrose metabolism	67	39	K01212	E3.2.1.65, sacC	4
00500	Starch and sucrose metabolism	67	39	K01225	E3.2.1.91	19
00500	Starch and sucrose metabolism	67	39	K01226	E3.2.1.93, treC	3
00500	Starch and sucrose metabolism	67	39	K01513	E3.6.1.9	2
00500	Starch and sucrose metabolism	67	39	K01810	GPI, pgi	2
00500	Starch and sucrose metabolism	67	39	K01835	E5.4.2.2, pgm	12
00500	Starch and sucrose metabolism	67	39	K01838	E5.4.2.6	9
00500	Starch and sucrose metabolism	67	39	K05342	E2.4.1.64	1
00500	Starch and sucrose metabolism	67	39	K05343	E5.4.99.16	3
00500	Starch and sucrose metabolism	67	39	K05344	E2.7.1.41	4
00500	Starch and sucrose metabolism	67	39	K05349	BGLX	3
00500	Starch and sucrose metabolism	67	39	K08678	E4.1.1.35, UXS1	1
00500	Starch and sucrose metabolism	67	39	K08679	E5.1.3.6	1
00196	Photosynthesis - antenna proteins	40	7	K02284	cpcA	1
00196	Photosynthesis - antenna proteins	40	7	K02285	cpcB	1
00196	Photosynthesis - antenna proteins	40	7	K02286	cpcC	3
00196	Photosynthesis - antenna proteins	40	7	K02287	cpcD	1
00196	Photosynthesis - antenna proteins	40	7	K02288	cpcE	2
00196	Photosynthesis - antenna proteins	40	7	K02289	cpcF	2
00196	Photosynthesis - antenna proteins	40	7	K02290	cpcG	4
00770	Pantothenate and CoA biosynthesis	24	16	K00053	E1.1.1.86, ilvC	3
00770	Pantothenate and CoA biosynthesis	24	16	K00077	E1.1.1.169, apbA	3
00770	Pantothenate and CoA biosynthesis	24	16	K00207	E1.3.1.2, DPYD	10
00770	Pantothenate and CoA biosynthesis	24	16	K00606	E2.1.2.11, panB	1
00770	Pantothenate and CoA biosynthesis	24	16	K00826	E2.6.1.42, ilvE	10
00770	Pantothenate and CoA biosynthesis	24	16	K00859	E2.7.1.24, coaE	6
00770	Pantothenate and CoA biosynthesis	24	16	K00867	COAA	1
00770	Pantothenate and CoA biosynthesis	24	16	K00954	E2.7.7.3A, coaD, kdtB	4
00770	Pantothenate and CoA biosynthesis	24	16	K00997	E2.7.8.7, acpS	1
00770	Pantothenate and CoA biosynthesis	24	16	K01464	E3.5.2.2, DPYS	1
00770	Pantothenate and CoA biosynthesis	24	16	K01513	E3.6.1.9	2
00770	Pantothenate and CoA biosynthesis	24	16	K01652	E2.2.1.6L, ilvB, ilvG, ilvI	47
00770	Pantothenate and CoA biosynthesis	24	16	K01653	E2.2.1.6S, ilvH, ilvN	6
00770	Pantothenate and CoA biosynthesis	24	16	K01687	E4.2.1.9, ilvD	4
00770	Pantothenate and CoA biosynthesis	24	16	K01918	E6.3.2.1, panC	4
00770	Pantothenate and CoA biosynthesis	24	16	K03525	COAX	3
00622	Toluene and xylene degradation	15	9	K00055	E1.1.1.90	5
00622	Toluene and xylene degradation	15	9	K00492	E1.14.13.-	10
00622	Toluene and xylene degradation	15	9	K01576	E4.1.1.7, mdlC	10
00622	Toluene and xylene degradation	15	9	K01666	E4.1.3.39, mhpE	3
00622	Toluene and xylene degradation	15	9	K01781	E5.1.2.2	7
00622	Toluene and xylene degradation	15	9	K01856	E5.5.1.1	6
00622	Toluene and xylene degradation	15	9	K03380	E1.14.13.7	1
00622	Toluene and xylene degradation	15	9	K03381	E1.13.11.1, catA	1
00622	Toluene and xylene degradation	15	9	K10217	E1.2.1.32	5
01057	Biosynthesis of type II polyketide products	1	1	K05556	ACTVI1	7
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00015	E1.1.1.26	3
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00018	E1.1.1.29	12
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00025	E1.1.1.37A	6
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00026	E1.1.1.37B, mdh	6
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00042	E1.1.1.60, garR	3
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00050	E1.1.1.81, ttuD	1
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00104	glcD	2
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00122	E1.2.1.2	36
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00123	E1.2.1.2A	29
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00124	E1.2.1.2B1	32
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00125	E1.2.1.2B2	22
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00127	E1.2.1.2G	1
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00288	E1.5.1.5, folD	5
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00436	E1.12.1.2	24
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00532	E1.12.7.2	16
00630	Glyoxylate and dicarboxylate metabolism	57	32	K00533	E1.12.7.2L	20
00630	Glyoxylate and dicarboxylate metabolism	57	32	K01091	E3.1.3.18, gph	4
00630	Glyoxylate and dicarboxylate metabolism	57	32	K01432	E3.5.1.9	5
00630	Glyoxylate and dicarboxylate metabolism	57	32	K01458	E3.5.1.68	1
00630	Glyoxylate and dicarboxylate metabolism	57	32	K01491	E3.5.4.9, folD	5
00630	Glyoxylate and dicarboxylate metabolism	57	32	K01637	E4.1.3.1, aceA	8
00630	Glyoxylate and dicarboxylate metabolism	57	32	K01638	E2.3.3.9, aceB, glcB	1
00630	Glyoxylate and dicarboxylate metabolism	57	32	K01647	CS, gltA	3
00630	Glyoxylate and dicarboxylate metabolism	57	32	K01681	ACO, acnA	9
00630	Glyoxylate and dicarboxylate metabolism	57	32	K01682	acnB	9
00630	Glyoxylate and dicarboxylate metabolism	57	32	K01816	E5.3.1.22, gip	1
00630	Glyoxylate and dicarboxylate metabolism	57	32	K01938	E6.3.4.3, fhs	5
00630	Glyoxylate and dicarboxylate metabolism	57	32	K08348	E1.2.1.2NA, fdnG	7
00630	Glyoxylate and dicarboxylate metabolism	57	32	K08349	E1.2.1.2NB, fdnH	15
00630	Glyoxylate and dicarboxylate metabolism	57	32	K08350	E1.2.1.2NG, fdnI	1
00630	Glyoxylate and dicarboxylate metabolism	57	32	K08692	E6.2.1.9	3
00630	Glyoxylate and dicarboxylate metabolism	57	32	K11473	glcF	2
00561	Glycerolipid metabolism	41	8	K00005	E1.1.1.6, gldA	1
00561	Glycerolipid metabolism	41	8	K00128	E1.2.1.3	17
00561	Glycerolipid metabolism	41	8	K00655	E2.3.1.51, plsC	2
00561	Glycerolipid metabolism	41	8	K00864	E2.7.1.30, glpK	4
00561	Glycerolipid metabolism	41	8	K01046	E3.1.1.3	4
00561	Glycerolipid metabolism	41	8	K03429	UGTP	13
