#accession	name	isology	mainrole	subrole	count	count_pct	abundance	abundance_pct	depth_M1	depth_pct_M1	depth_M2	depth_pct_M2	depth_M3	depth_pct_M3	depth_M4	depth_pct_M4	plevel_pct_P1	plevel_pct_P2	plevel_pct_P3	plevel_pct_P4	description
TIGR00073	hypB	equivalog	Protein fate	Protein modification and repair	2	0.05	12909.69	0.05	3081.49	0.05	3878.70	0.05	2168.08	0.05	3781.43	0.05	0.01	0.01	0.01	0.01	hydrogenase accessory protein HypB
TIGR00074	hypC_hupF	equivalog	Protein fate	Protein modification and repair	1	0.02	6280.76	0.02	1511.66	0.02	1820.41	0.02	1117.33	0.02	1831.36	0.02	0	0	0	0	hydrogenase assembly chaperone HypC/HupF
TIGR00075	hypD	equivalog	Protein fate	Protein modification and repair	1	0.02	8028.86	0.03	1965.29	0.03	2499.84	0.03	1167.96	0.03	2395.77	0.03	0	0	0	0	hydrogenase expression/formation protein HypD
TIGR00077	lspA	equivalog	Protein fate	Protein and peptide secretion and trafficking	1	0.02	6547.24	0.02	1546.76	0.02	1983.14	0.02	1088.70	0.02	1928.63	0.02	0	0	0	0	signal peptidase II
TIGR00078	nadC	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridine nucleotides	1	0.02	6427.03	0.02	1524.42	0.02	1877.97	0.02	1079.95	0.02	1944.69	0.02	0	0	0	0	nicotinate-nucleotide diphosphorylase (carboxylating)
TIGR00079	pept_deformyl	equivalog	Protein fate	Protein modification and repair	1	0.02	6212.62	0.02	1460.35	0.02	1906.40	0.02	980.73	0.02	1865.14	0.02	0	0	0	0	peptide deformylase
TIGR00081	purC	equivalog	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis	1	0.02	6341.34	0.02	1494.56	0.02	1984.69	0.02	975.49	0.02	1886.60	0.02	0.00	0.00	0	0.00	phosphoribosylaminoimidazolesuccinocarboxamide synthase
TIGR00082	rbfA	equivalog	Transcription	RNA processing	1	0.02	6240.60	0.02	1480.59	0.02	1871.69	0.02	1038.02	0.02	1850.30	0.02	0	0	0	0	ribosome-binding factor A
TIGR00083	ribF	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Riboflavin, FMN, and FAD	1	0.02	6547.24	0.02	1546.76	0.02	1983.14	0.02	1088.70	0.02	1928.63	0.02	0	0	0	0	riboflavin biosynthesis protein RibF
TIGR00084	ruvA	equivalog	DNA metabolism	DNA replication, recombination, and repair	1	0.02	6628.93	0.02	1569.83	0.02	2058.29	0.02	1050.75	0.02	1950.07	0.02	0.06	0.05	0.07	0.06	Holliday junction DNA helicase RuvA
TIGR00086	smpB	equivalog	Protein synthesis	Other	1	0.02	6616.09	0.02	1552.70	0.02	2033.61	0.02	1084.75	0.02	1945.02	0.02	0.00	0.00	0	0.00	SsrA-binding protein
TIGR00087	surE	equivalog	Cellular processes	Adaptations to atypical conditions	2	0.05	12858.76	0.05	3008.64	0.05	3953.37	0.05	2095.47	0.05	3801.27	0.05	0	0	0	0	5'/3'-nucleotidase SurE
TIGR00088	trmD	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6564.04	0.02	1565.29	0.02	1986.41	0.02	1090.71	0.02	1921.63	0.02	0	0	0	0	tRNA (guanine(37)-N(1))-methyltransferase
TIGR00089	TIGR00089	subfamily	UNKNOWN	UNKNOWN	2	0.05	11462.06	0.04	2684.16	0.04	3567.39	0.04	1728.47	0.04	3482.04	0.04	0.13	0.12	0.10	0.11	radical SAM methylthiotransferase, MiaB/RimO family
TIGR00090	rsfS_iojap_ybeB	equivalog	Protein synthesis	Translation factors	1	0.02	6474.57	0.02	1532.49	0.02	1998.36	0.02	1042.57	0.02	1901.16	0.02	0	0	0	0	ribosome silencing factor
TIGR00091	TIGR00091	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6421.77	0.02	1524.41	0.02	1932.13	0.02	1074.97	0.02	1890.27	0.02	0	0	0	0	tRNA (guanine-N(7)-)-methyltransferase
TIGR00092	TIGR00092	hypoth_equivalog	Unknown function	General	1	0.02	6341.34	0.02	1494.56	0.02	1984.69	0.02	975.49	0.02	1886.60	0.02	0	0	0	0	GTP-binding protein YchF
TIGR00093	TIGR00093	subfamily	Protein synthesis	tRNA and rRNA base modification	2	0.05	12735.04	0.05	3005.66	0.05	3859.21	0.05	2114.32	0.05	3755.85	0.05	0.00	0.00	0	0.00	pseudouridine synthase
TIGR00095	TIGR00095	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	7174.70	0.03	1679.91	0.03	2196.68	0.03	1198.03	0.03	2100.08	0.03	0	0	0	0	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
TIGR00096	TIGR00096	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6294.95	0.02	1478.05	0.02	1879.43	0.02	1114.52	0.02	1822.95	0.02	0.03	0.03	0.02	0.02	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
TIGR00097	HMP-P_kinase	equivalog_domain	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0	0	0	0	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
TIGR00100	hypA	equivalog	Protein fate	Protein modification and repair	2	0.05	12909.69	0.05	3081.49	0.05	3878.70	0.05	2168.08	0.05	3781.43	0.05	0.02	0.02	0.01	0.01	hydrogenase nickel insertion protein HypA
TIGR00101	ureG	equivalog	Central intermediary metabolism	Nitrogen metabolism	1	0.02	6452.11	0.02	1524.05	0.02	1964.40	0.02	1064.76	0.02	1898.91	0.02	0	0	0	0	urease accessory protein UreG
TIGR00103	DNA_YbaB_EbfC	equivalog	Unknown function	General	1	0.02	6616.09	0.02	1552.70	0.02	2033.61	0.02	1084.75	0.02	1945.02	0.02	0	0	0	0	DNA-binding protein, YbaB/EbfC family
TIGR00105	L31	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02	0.01	0.01	0.05	0.02	ribosomal protein bL31
TIGR00109	hemH	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin	1	0.02	6770.44	0.02	1616.50	0.02	2047.11	0.02	1118.28	0.02	1988.54	0.02	0.04	0.04	0.04	0.06	ferrochelatase
TIGR00110	ilvD	equivalog	Amino acid biosynthesis	Pyruvate family	1	0.02	6564.04	0.02	1565.29	0.02	1986.41	0.02	1090.71	0.02	1921.63	0.02	0.00	0.00	0.00	0.00	dihydroxy-acid dehydratase
TIGR00112	proC	equivalog	Amino acid biosynthesis	Glutamate family	1	0.02	6528.49	0.02	1535.89	0.02	1999.65	0.02	1072.38	0.02	1920.57	0.02	2.23	2.57	1.76	2.21	pyrroline-5-carboxylate reductase
TIGR00113	queA	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6427.03	0.02	1524.42	0.02	1877.97	0.02	1079.95	0.02	1944.69	0.02	0	0	0	0	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
TIGR00114	lumazine-synth	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Riboflavin, FMN, and FAD	1	0.02	6709.57	0.02	1582.63	0.02	2022.99	0.02	1139.10	0.02	1964.86	0.02	0.01	0.03	0	0.04	6,7-dimethyl-8-ribityllumazine synthase
TIGR00115	tig	equivalog	Protein fate	Protein folding and stabilization	1	0.02	6998.30	0.02	1655.34	0.03	2103.77	0.02	1209.87	0.03	2029.32	0.02	0	0	0	0	trigger factor
TIGR00116	tsf	equivalog	Protein synthesis	Translation factors	1	0.02	6562.68	0.02	1548.76	0.02	2089.93	0.02	969.20	0.02	1954.80	0.02	0	0	0	0	translation elongation factor Ts
TIGR00117	acnB	equivalog	Energy metabolism	TCA cycle	1	0.02	6468.14	0.02	1521.00	0.02	1981.51	0.02	1053.82	0.02	1911.80	0.02	0	0	0	0	aconitate hydratase 2
TIGR00118	acolac_lg	equivalog	Amino acid biosynthesis	Pyruvate family	1	0.02	6528.49	0.02	1535.89	0.02	1999.65	0.02	1072.38	0.02	1920.57	0.02	0	0	0	0	acetolactate synthase, large subunit, biosynthetic type
TIGR00119	acolac_sm	equivalog	Amino acid biosynthesis	Pyruvate family	1	0.02	6602.52	0.02	1551.34	0.02	2042.87	0.02	1053.93	0.02	1954.38	0.02	0	0	0	0	acetolactate synthase, small subunit
TIGR00120	ArgJ	equivalog	Amino acid biosynthesis	Glutamate family	1	0.02	6466.38	0.02	1514.72	0.02	2006.08	0.02	1006.32	0.02	1939.26	0.02	0.01	0.01	0.02	0.02	glutamate N-acetyltransferase/amino-acid acetyltransferase
TIGR00121	birA_ligase	equivalog_domain	Protein fate	Protein modification and repair	1	0.02	6501.48	0.02	1530.61	0.02	1989.55	0.02	1039.57	0.02	1941.74	0.02	0.00	0.01	0.00	0.01	biotin--[acetyl-CoA-carboxylase] ligase
TIGR00125	cyt_tran_rel	domain	UNKNOWN	UNKNOWN	2	0.05	13304.23	0.05	3133.68	0.05	4084.20	0.05	2197.14	0.05	3889.20	0.05	0.00	0.00	0.00	0.00	cytidyltransferase-like domain
TIGR00126	deoC	equivalog	Energy metabolism	Other	1	0.02	6468.14	0.02	1521.00	0.02	1981.51	0.02	1053.82	0.02	1911.80	0.02	0	0	0	0	deoxyribose-phosphate aldolase
TIGR00128	fabD	equivalog	Fatty acid and phospholipid metabolism	Biosynthesis	1	0.02	6401.27	0.02	1501.25	0.02	1959.78	0.02	1041.93	0.02	1898.31	0.02	0	0	0	0	malonyl CoA-acyl carrier protein transacylase
TIGR00132	gatA	equivalog	Protein synthesis	tRNA aminoacylation	1	0.02	6501.48	0.02	1530.61	0.02	1989.55	0.02	1039.57	0.02	1941.74	0.02	0	0	0	0	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit
TIGR00133	gatB	equivalog	Protein synthesis	tRNA aminoacylation	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0.00	0.01	0.00	0.01	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit
TIGR00135	gatC	equivalog	Protein synthesis	tRNA aminoacylation	1	0.02	6482.93	0.02	1532.16	0.02	1935.21	0.02	1150.35	0.02	1865.20	0.02	0	0	0	0	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit
TIGR00136	gidA	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6433.00	0.02	1512.10	0.02	1951.58	0.02	1077.40	0.02	1891.92	0.02	0	0	0	0	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
TIGR00137	gid_trmFO	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0	0	0	0	tRNA:m(5)U-54 methyltransferase
TIGR00138	rsmG_gidB	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6433.00	0.02	1512.10	0.02	1951.58	0.02	1077.40	0.02	1891.92	0.02	0.01	0.01	0.02	0.01	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
TIGR00143	hypF	equivalog	Protein fate	Protein modification and repair	1	0.02	6280.76	0.02	1511.66	0.02	1820.41	0.02	1117.33	0.02	1831.36	0.02	0.00	0.00	0.00	0.00	carbamoyltransferase HypF
TIGR00147	TIGR00147	subfamily	Unknown function	Enzymes of unknown specificity	1	0.02	6028.36	0.02	1401.42	0.02	1875.21	0.02	937.63	0.02	1814.10	0.02	0.01	0.03	0.00	0.01	lipid kinase, YegS/Rv2252/BmrU family
TIGR00148	TIGR00148	subfamily	Unknown function	General	1	0.02	6616.77	0.02	1567.67	0.02	1995.30	0.02	1133.10	0.02	1920.70	0.02	0.02	0.01	0.01	0.01	decarboxylase, UbiD family
TIGR00149	TIGR00149_YjbQ	hypoth_equivalog	Unknown function	Enzymes of unknown specificity	1	0.02	6522.55	0.02	1540.00	0.02	2004.09	0.02	1039.73	0.02	1938.73	0.02	0	0	0	0	secondary thiamine-phosphate synthase enzyme
TIGR00150	T6A_YjeE	equivalog	Protein synthesis	tRNA and rRNA base modification	1	0.02	6547.24	0.02	1546.76	0.02	1983.14	0.02	1088.70	0.02	1928.63	0.02	0.01	0.01	0.01	0.00	tRNA threonylcarbamoyl adenosine modification protein YjeE
TIGR00151	ispF	equivalog_domain	Biosynthesis of cofactors, prosthetic groups, and carriers	Other	1	0.02	6330.23	0.02	1498.80	0.02	1884.33	0.02	1108.40	0.02	1838.70	0.02	0	0	0	0	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
TIGR00152	TIGR00152	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A	1	0.02	6468.14	0.02	1521.00	0.02	1981.51	0.02	1053.82	0.02	1911.80	0.02	0.02	0.03	0.02	0.02	dephospho-CoA kinase
TIGR00154	ispE	equivalog	Biosynthesis of cofactors, prosthetic groups, and carriers	Other	1	0.02	6433.00	0.02	1512.10	0.02	1951.58	0.02	1077.40	0.02	1891.92	0.02	0	0	0	0	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
TIGR00157	TIGR00157	equivalog	Protein synthesis	Translation factors	1	0.02	6628.93	0.02	1569.83	0.02	2058.29	0.02	1050.75	0.02	1950.07	0.02	0	0	0	0	ribosome small subunit-dependent GTPase A
TIGR00158	L9	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	1	0.02	5886.60	0.02	1378.98	0.02	1811.63	0.02	943.71	0.02	1752.28	0.02	0.01	0.01	0.00	0.01	ribosomal protein bL9
TIGR00159	TIGR00159	hypoth_equivalog	Hypothetical proteins	Conserved	1	0.02	6699.09	0.02	1588.53	0.02	1983.47	0.02	1181.26	0.03	1945.83	0.02	0	0	0	0	TIGR00159 family protein
TIGR00165	S18	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0	0	0	0	ribosomal protein bS18
TIGR00166	S6	equivalog	Protein synthesis	Ribosomal proteins synthesis and modification	1	0.02	6370.02	0.02	1502.65	0.02	1948.84	0.02	1026.18	0.02	1892.35	0.02	0.01	0.01	0.00	0.00	ribosomal protein bS6
TIGR00167	cbbA	subfamily	Energy metabolism	Glycolysis/gluconeogenesis	1	0.02	6457.71	0.02	1531.97	0.02	1934.38	0.02	1081.78	0.02	1909.58	0.02	0.00	0.00	0.00	0.00	ketose-bisphosphate aldolase
TIGR00168	infC	equivalog	Protein synthesis	Translation factors	1	0.02	6272.96	0.02	1473.10	0.02	1949.04	0.02	973.35	0.02	1877.47	0.02	0.01	0.02	0.02	0.02	translation initiation factor IF-3
TIGR00169	leuB	equivalog	Amino acid biosynthesis	Pyruvate family	1	0.02	6379.79	0.02	1499.08	0.02	1958.78	0.02	1040.21	0.02	1881.72	0.02	0.02	0.04	0.05	0.02	3-isopropylmalate dehydrogenase
TIGR00170	leuC	equivalog_domain	Amino acid biosynthesis	Pyruvate family	1	0.02	6521.33	0.02	1532.85	0.02	1979.57	0.02	1085.55	0.02	1923.36	0.02	0.00	0.00	0	0	3-isopropylmalate dehydratase, large subunit
TIGR00171	leuD	equivalog_domain	Amino acid biosynthesis	Pyruvate family	1	0.02	6521.33	0.02	1532.85	0.02	1979.57	0.02	1085.55	0.02	1923.36	0.02	0	0	0	0	3-isopropylmalate dehydratase, small subunit
TIGR00172	maf	equivalog	Cellular processes	Cell division	1	0.02	6868.99	0.02	1640.70	0.02	2061.22	0.02	1150.09	0.02	2016.97	0.02	0	0	0	0	septum formation protein Maf
